issuekey,title,description,storypoint
PF-9765,Account open and Update | Statement Detail | Update URS with new definition level,nan,8
PF-9760,Settings | Product Definition | Include Sub Product wise Transaction limit validation - View and Create the Eligibility - BE," 1.1.1.1.  the user can click on “create new” to create a new transaction limit eligibility form and the following fields are required (annexure 1 in urs) a.        eligibility code b.        eligibility name c.        transaction code d.        transaction sub code e.        number of transactions – toggle    minimum no   maximum no   allowed period type (daily/ weekly /monthly & etc)   allowed period length  f.        transaction amount – toggle    minimum transaction amount   maximum transaction amount   minimum cumulative transaction amount   maximum cumulative transaction amount   allowed period type (daily/ weekly /monthly & etc)   allowed period length  g.        grace period required – toggle    period type (daily/ weekly /monthly & etc)   period length  h.        error type i.        indicators –inner /outer j.        status – toggle (default active when creating)   1.1.1.2.        eligibility code  04 digits only (varchar) must not be allowed to duplicate     1.1.1.3.        eligibility name  30 digits only     1.1.1.4.        transaction code  should be a drop down only the active records should be available in the lov mandatory field     1.1.1.5.        transaction sub code  should be a drop down child records must be according to the parent record (6.1.2.2) only the active records should be available in the lov mandatory field   1.1.1.6.        min/maxtransactions – toggle  not a mandatory field. however either 01 toggle is mandatory   1.1.1.7.        minimum no / maximum no (particular period)  number field either minimum or maximum is mandatory (conditional) users can set up both if required and at this event indicator is mandatory to mark the inner or outer must exceed the minimum minus values are not allowed. zero allowed point values not allowed (0.1)   1.1.1.8.        allowed period type  not a mandatory field must be a dropdown and all active period types must be picked   1.1.1.9.        allowed period length  conditionally mandatory (1.1.1.4) must be a number   1.1.1.10.        transaction amount – toggle  not a mandatory field. however either 01 toggle is mandatory   1.1.1.11.        transaction amount  a.        minimum transaction amount    amount needs to be captured   not a mandatory field   minus values not allowed, zero allowed   any min/max combination maximum should always exceed the minimum  b.        maximum transaction amount    amount needs to be captured   not a mandatory field   minus values not allowed   any min/max combination maximum should always exceed the minimum  note: users can set up both if required and at this event indicator is mandatory to mark the inner or outer  c.        minimum cumulative transaction amount    amount needs to be captured   not a mandatory field   minus values not allowed, zero allowed   any min/max combination maximum should always exceed the minimum  d.        maximum cumulative transaction amount    amount needs to be captured   not a mandatory field   minus values not allowed   any min/max combination maximum should always exceed the minimum  note: users can set up both if required and at this event indicator is mandatory to mark the inner or outer  allowed period type not a mandatory field must be a dropdown and all active period types must be picked allowed period length conditionally mandatory (6.1.2.4) must be a number   1.1.1.12.        grace period required – toggle  not a mandatory field   1.1.1.13.        period type (conditional mandatory 1.1.1.8)  not a mandatory field must be a dropdown and all active period types must be picked   1.1.1.14.        period length (conditional mandatory 6.1.2.8)  conditionally mandatory (1.1.1.6) must be a number   1.1.1.15.        indicator  radio button or check box inner – min/max values consider in between outer   min/max values consider not in between   1.1.1.16.        error type  mandatory enum value (ui) exception – only a warning needs to be displayed error – the system must not allow to performing of any transaction  note: error type is required for 1.1.1.6, 1.1.1.7 (a,b)  note: please refer to annexure 03 for a detailed screen  use case as follows: if the user set up the limits for transaction code; cash withdrawal transaction sub code; over the counter withdrawal period type; month period length; 1 minimum number; 2 maximum number; 3 error type; error  the system should not allow passing the min/max values and based on the error type for a month. further, if any charge is set up the same needs to be calculated accordingly. this will be similar to all the min/max value setups. in the event of any combined values (min/max), the validation should fire based on the indicator inner: between min and max values outer:  not in between the min and max values  by selecting the “confirm” button, the user gets a message as “are you sure you want to create the limit eligibility type?” with the “confirm” or “cancel” buttons  a.        confirm: if the user selects the “confirm” option, the limit eligibility type must be created, and the message to display as “limit eligibility type successfully created!” upon successful transfer. b.        cancel: if the user selects the “cancel” option, the message will be discarded if any error has occurred while creating the record the correct error message needs to display to the user.   1.1.1.17.         the same should be available in the update screen as well as user can update this as and when required  1.1.1.18.         the user can enter any combination of the above scenarios     check:   the user should be able to create according to the input parameters  user can modify this where required (in sub product level of limit eligibility type level)  the system must show proper error message /proper validation when the user performs any transaction to an account in the above sub product according to the sub transaction type limits  user can add multiple transaction codes/sub codes based on the requirement and update/remove when required in the eligibility controller  when attaching the eligibility limit system must display the code, name, and status of the eligibility limit type  once the user setup the template a field is required to be attached at the eligibility controller level (annexure 2/3)  once the user attaches the template to the controller (active only) then can assign it to the sub product as the existing eligibility type (existing)  if the user provides unrelated or non existing data for selected search parameters, then details will not display, and the message be displayed as “no data”.  the system must not allow attaching duplicate sub transaction codes to a single eligibility type  system must not allow to attach the same transaction eligibility at sub product level in multiple times  the users are allowed to create multiple limit eligibility templates using the same transaction sub types",32
PF-9759,Standing Order | SI Suspend |Confirming standing order - Confirm QA," do      user select the confirm standing order option it will navigate to “confirm standing order” page.    “hold pending” tab should be added to the existing screen.     after holding the standing order, it will park on the “hold pending tab”     hold standing order should be searched by the casa account number as the search parameter.     under the standing order details section, below already added details related to relevant standing order should be displayed in disable mode.     in the last section named as standing order hold details, below fields should be displayed.    selected hold time period from   selected hold time period to   added comment   uploaded document     user should be able to approve or reject the hold request of standing order.     check     user select the confirm standing order option it will navigate to “temporary hold standing order” page.   “hold pending” tab should be added to the existing screen.     after holding the standing order, it will park on the “hold pending tab”    hold standing order should be searched by the casa account number as the search parameter.   after searching by the casa account number standing order details should be displayed in the grid with following columns.    customer name   account number   account name   action [select]   after selecting the standing order, order details display under three section.    account details   standing order details   standing order hold details   under the account details section, in a grid below details should be displayed.    schema name   account number   name   status    under the standing order details section, below already added details related to relevant standing order should be displayed in disable mode.     when user selects “fix” as standing order type, below details should be displayed in a disable mode.    first payment amount   recurring payment date   recurring payment amount   frequency   total number of payments   final payment amount   priority   processing type   payment mode   account types   notes   attached document    .    when user selects “condition” as standing order type, below details should be displayed in a disable mode.    account number   amount type   account balance conditions   account balance amount   account balance indicator   account balance indicator type   notes   attached document    in the last section named as standing order hold details, below fields should be displayed.    selected hold time period from   selected hold time period to   added comment   uploaded document     user should be able to approve or reject the hold request of standing order.",24
PF-9758,Standing Order | SI Suspend |Confirming standing order - Confirm BE," do      user select the confirm standing order option it will navigate to “confirm standing order” page.    “hold pending” tab should be added to the existing screen.     after holding the standing order, it will park on the “hold pending tab”     hold standing order should be searched by the casa account number as the search parameter.     under the standing order details section, below already added details related to relevant standing order should be displayed in disable mode.     in the last section named as standing order hold details, below fields should be displayed.    selected hold time period from   selected hold time period to   added comment   uploaded document     user should be able to approve or reject the hold request of standing order.     check     user select the confirm standing order option it will navigate to “temporary hold standing order” page.   “hold pending” tab should be added to the existing screen.     after holding the standing order, it will park on the “hold pending tab”    hold standing order should be searched by the casa account number as the search parameter.   after searching by the casa account number standing order details should be displayed in the grid with following columns.    customer name   account number   account name   action [select]   after selecting the standing order, order details display under three section.    account details   standing order details   standing order hold details   under the account details section, in a grid below details should be displayed.    schema name   account number   name   status    under the standing order details section, below already added details related to relevant standing order should be displayed in disable mode.     when user selects “fix” as standing order type, below details should be displayed in a disable mode.    first payment amount   recurring payment date   recurring payment amount   frequency   total number of payments   final payment amount   priority   processing type   payment mode   account types   notes   attached document    .    when user selects “condition” as standing order type, below details should be displayed in a disable mode.    account number   amount type   account balance conditions   account balance amount   account balance indicator   account balance indicator type   notes   attached document    in the last section named as standing order hold details, below fields should be displayed.    selected hold time period from   selected hold time period to   added comment   uploaded document     user should be able to approve or reject the hold request of standing order.",16
PF-9757,Standing Order | SI Suspend | Hold standing order - create QA," do      login to temporary hold standing order screen.   search casa account number  which need to be hold in the temporary hold standing order screen.   select the casa account.   account details and standing order details will be displayed relevant casa account.   in the last section named as standing order hold details, below date filed should be displayed to be selected.                hold time period from                hold time period to                comment                document upload     comment field should be added and user able to add a comment.    upload section should be added to upload document.   after selecting the time duration, user able to click on the “confirm” button and that standing order will be hold for the selected time period.     check     when user logged into the system and click on “standing order management” in casa module menu, user should be able to select “temporary hold standing order”.    if user select the temporary hold standing order option it will navigate to “temporary hold standing order” page.     as the search parameter, “casa account number” to be added.    after searching by the casa account number standing order details should be displayed in the grid with following columns.   customer name   account number   account name   action    when selecting a standing order, order details display under three section.   account details   standing order details   standing order hold details    under the account details section, in a grid below details should be displayed.   schema name   account number   name   status   under the standing order details section, already added details related to standing order should be displayed in disable mode.    after that based on the standing order type displaying fields are changed.     below field should be same for both standing order type.   purpose   first payment date     when user selects “fix” as standing order type, below details should be displayed in a disable mode.    first payment amount   recurring payment date   recurring payment amount   frequency   total number of payments   final payment amount   priority   processing type   payment mode   account types   notes   attached document   when user selects “condition” as standing order type, below details should be displayed in a disable mode.    account number   amount type   account balance conditions   account balance amount   account balance indicator   account balance indicator type   notes   attached document   comment field should be added and user able to add a comment.   upload section should be added to upload document.   after selecting the time duration, user able to click on the “confirm” button and that standing order will be hold for the selected time period.",32
PF-9756,Standing Order | SI Suspend | Hold standing order - create BE," do      login to temporary hold standing order screen.   search casa account number  which need to be hold in the temporary hold standing order screen.   select the casa account.   account details and standing order details will be displayed relevant casa account.   in the last section named as standing order hold details, below date filed should be displayed to be selected.                hold time period from                hold time period to                comment                document upload     comment field should be added and user able to add a comment.    upload section should be added to upload document.   after selecting the time duration, user able to click on the “confirm” button and that standing order will be hold for the selected time period.     check     when user logged into the system and click on “standing order management” in casa module menu, user should be able to select “temporary hold standing order”.    if user select the temporary hold standing order option it will navigate to “temporary hold standing order” page.     as the search parameter, “casa account number” to be added.    after searching by the casa account number standing order details should be displayed in the grid with following columns.   customer name   account number   account name   action    when selecting a standing order, order details display under three section.   account details   standing order details   standing order hold details    under the account details section, in a grid below details should be displayed.   schema name   account number   name   status   under the standing order details section, already added details related to standing order should be displayed in disable mode.    after that based on the standing order type displaying fields are changed.     below field should be same for both standing order type.   purpose   first payment date     when user selects “fix” as standing order type, below details should be displayed in a disable mode.    first payment amount   recurring payment date   recurring payment amount   frequency   total number of payments   final payment amount   priority   processing type   payment mode   account types   notes   attached document   when user selects “condition” as standing order type, below details should be displayed in a disable mode.    account number   amount type   account balance conditions   account balance amount   account balance indicator   account balance indicator type   notes   attached document   comment field should be added and user able to add a comment.   upload section should be added to upload document.   after selecting the time duration, user able to click on the “confirm” button and that standing order will be hold for the selected time period.",16
PF-9749,All Module |OAC Reports | Multi Tenant Control |Curl Implementation,do:  have to implement the curl to enable multitenancy  sample qa curl   curl  location  request post ' model/oac/anrkr/user?userrole=dev' \  header 'username: heeshaj'   check :   have to implement above mentioned curl in linked oac reports (already linked with the epic)  should enable the multitenancy,32
PF-9742,Common Module | Sub Channel| List all stories and effort estimation,nan,4
PF-9740,Supplier Management | Add GPS Provider |Supplier creation, do    the entity types which created by entity type definition in common module  are should be displayed in the supplier types on supplier creation on supplier module.     check    check whether the supplier types  which created in entity type  definition in common module are  loading  in the supplier type field in supplier module.,33
PF-9739,Supplier Management | Add GPS Provider |Entity Type- FE / QA," do    click on “create new ” button user should navigate to the create new screen.    at the create new screen user be able to enter the details for below fields.      data type  text field text field text field toggle       code should be 4 digit and unique.    after creating the record, user should be able click on the “save” button and a successful message should be displayed as “entity type is successfully created”  the entity types which created by this definition are should be displayed in the supplier types on supplier creation on supplier module.     check    click on “create new ” button user should navigate to the create new screen.   at the create new screen user be able to enter the details for below fields.      data type  text field text field text field toggle      code should be 4 digit and unique.   after creating the record, user should be able click on the “save” button and a successful message should be displayed as “entity type is successfully created”   the entity types which created by this definition are should be displayed in the supplier types on supplier creation on supplier module.    when user enter code less than or greater than 4 digits a validation message should be displayed as “code should be 4 digit long”     update     do    click on  “ update” button user should navigate to the update screen.   at the update screen, user able to update the details except code.   after updating the record, user should be able click on the “update” button and a successful message should be displayed as “entity type is successfully updated”     check     click on  “ update” button user should navigate to the update screen.   at the update screen, user able to update the details except code.   after updating the record, user should be able click on the “update” button and a successful message should be displayed as “entity type is successfully updated”",16
