issuekey,title,description,storypoint
PF-5705,Lending Module | Tax Code Definition | Create & Update Tax Code Definition - FE_QA,"*DO;*

_Create **_

As the system administrator Once I click into the page, I need to view the existing “Tax Code Definitions – Lending” values which are already created and their status.

a.       Code

b.       Name

c.        Description

d.       Tax Category

e.       Transaction Code

f.        Transaction Sub Code

g.       Active/ Inactive Statues



On the top right-hand corner in the existing list there should be a button named “Create New”. Once I click that button I want to be directed to a new modal to enter the details of the new Tax Code.

a.       Code

b.       Name

c.        Description

d.       Tax Category

e.       Transaction Code

f.        Transaction Sub Code

g.       Active/ Inactive Statues



_Update **_

As the system administrator Once I click into the page, I need to view the existing “Tax Code Definitions – Lending” values which are already created and their status.

a.       Code

b.       Name

c.        Description

d.       Tax Category

e.       Transaction Code

f.        Transaction Sub Code

g.       Active/ Inactive Statues

 

In front of each existing recode there should be a button named “Update”. Once I click the relevant update button I want to be directed to a new modal to enter the changes in the details of the “Tax Code Definition-Lending”.



*CHECK;*

User should be able to view the already created existing “Tax Code Definitions – Lending” values

Check if the user can click on “Create New”.  Once  clicked on that button user should be directed to a new modal to enter the details of the new Tax Code

After completing all required data, I click on save button and I should get a message asking “Are you sure, you want to create a Tax Code? ”.

* There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “New Tax Code successfully created”
* If not saved successfully, I should receive an unsuccessful message “Sorry ! , New Tax Code Creation Unsuccessful, Try Again ”
* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen



After editing required data, I should be able to click on “Update Button” and once I press the update button. I need to get a message asking “Are you sure, you want to update the Tax Code? ”.

* There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “Tax Code successfully updated”

* If not saved successfully, I should receive an unsuccessful message “Sorry ! ,  Tax Code update Unsuccessful, Try Again ”

* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen",28
PF-5702,Lending Module | Receipt Creation for Write-off facilities | FE Dev,,56
PF-5701,Lending Module | Receipt Creation for Write-off facilities | BE Dev,"Do 

# Develop API endpoints to handle the following functionalities:

* User authentication.
* Retrieving loan accounts for written-off payments.
* Saving counter party details.
* Retrieving loan account details for selected accounts.
* Handling payment method and transaction processing.
* Recording the payment transaction details.

2. Database Operations:

* Implement database operations for storing and retrieving:
** Written-off loan accounts.
** Payment transactions.

3. Implement validation checks:

* Ensure the TXN amount doesn't exceed the written-off amount.
* Validate mandatory fields for counter party details.
* Implement existing validations for counter party details.
* Validate transaction currency against common currency table.

4. Implement logging mechanisms to record:

* User, date, and time for each transaction.
* Details of written-off payment receipts.

5. Implement error handling for scenarios such as:

* Invalid user permissions.
* Incorrect or missing data.
* Amount exceeding the written-off amount.





Checks

# API Testing:
#* Verify API endpoints for correct data retrieval and storage.
#* Ensure proper handling of authentication and authorization.
# Database Testing:
#* Test database operations for accurate data storage and retrieval.
#* Verify data consistency and integrity.
# Validation Testing:
#* Test validation checks to ensure they prevent invalid data entry.
#* Validate error messages for clarity and correctness.
# Audit Logging Testing:
#* Verify that audit logs accurately record user, date, and time for each transaction.",48
PF-5700,Account Module | Over Draft Management | TOD and POD Modification | Interest calculation Modification -BE,"Do:

* The interest rates for permanent and temporary overdraft facilities, recorded at the overdraft facility request level during the overdraft approval, same interest rate should be utilize at the overdraft interest calculation process. 
* if there are more than one (multiple ) active OD facilities in an account, for interest calculation the prioritizing for interest rates should be taken from lowest interest facility. 
* Example : if the account OD balance 550,000.00

||*OD Facility Type*||*Int Rate*||*Limit*||
|TOD|18%|100,000.00|
|POD 1|13.5%|200,000.00|
|POD 2|14 %|100,000.00|
|COD|28%|150,000.00|

OD interest calculation 

POD 1 * 200,000.00 * 13.5%

POD 1 * 100,000.00 * 14%

TOD 1* 100,000.00 * 18%

COD 1 * 150,0000 * 28%



Check:

* check whether the saved interest rate at TOD / POD granting is utilized for interest calculation. ",32
PF-5689,Account Module | Over Draft Management | TOD and POD Modification | TOD Request API modification -BE,"Do:

* Should add Interest Rate and Special Interest Rate fields to the Checker-> Overdraft.

* Interest Rate field should be the rate that defined in the sub product
* interest rate should get at the OD granted point from the facility

* Special rate should be a text field.
* Save Interest Rate at Temporary overdraft request approval
* Facility interest rate should be taken at the point of TOD interest

Check:

* check if be able to add Interest Rate and Special Interest Rate fields to the Checker-> Overdraft.

* check if Interest Rate field is the rate that defined in the sub product

* check if Special rate is a text field.",10
PF-5688,Account Module | Over Draft Management | POD Modification | POD request API Modification- BE,"Do:

* Should add Interest Rate and Special Interest Rate fields to the New Lead-> OD Request

* Interest Rate field should be the rate that defined in the sub product. interest rate should be un editable

* Special Interest Rate should be able to add.
* if special rate added and approved special interest rate should replace the interest rate for calculations.
* Facility interest rate should be taken at the point of POD interest

Check:

* check if the Interest Rate and Special Interest Rate fields added to the New Lead-> OD Request

* check if the Interest Rate field is the rate that defined in the sub product. interest rate should be un editable

* check if special Interest Rate is be able to add.
* check if special rate added and approved special interest rate should replace the interest rate for calculations.",10
PF-5684,Lending Module | Tax Code Definition | Create & Update Tax Code Definition - FE Task,"*DO;*

_Create **_

As the system administrator Once I click into the page, I need to view the existing “Tax Code Definitions – Lending” values which are already created and their status.

a.       Code

b.       Name

c.        Description

d.       Tax Category

e.       Transaction Code

f.        Transaction Sub Code

g.       Active/ Inactive Statues



On the top right-hand corner in the existing list there should be a button named “Create New”. Once I click that button I want to be directed to a new modal to enter the details of the new Tax Code.

a.       Code

b.       Name

c.        Description

d.       Tax Category

e.       Transaction Code

f.        Transaction Sub Code

g.       Active/ Inactive Statues



_Update **_

As the system administrator Once I click into the page, I need to view the existing “Tax Code Definitions – Lending” values which are already created and their status.

a.       Code

b.       Name

c.        Description

d.       Tax Category

e.       Transaction Code

f.        Transaction Sub Code

g.       Active/ Inactive Statues

 

In front of each existing recode there should be a button named “Update”. Once I click the relevant update button I want to be directed to a new modal to enter the changes in the details of the “Tax Code Definition-Lending”.



*CHECK;*

User should be able to view the already created existing “Tax Code Definitions – Lending” values

Check if the user can click on “Create New”.  Once  clicked on that button user should be directed to a new modal to enter the details of the new Tax Code

After completing all required data, I click on save button and I should get a message asking “Are you sure, you want to create a Tax Code? ”.

* There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “New Tax Code successfully created”
* If not saved successfully, I should receive an unsuccessful message “Sorry ! , New Tax Code Creation Unsuccessful, Try Again ”
* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen



After editing required data, I should be able to click on “Update Button” and once I press the update button. I need to get a message asking “Are you sure, you want to update the Tax Code? ”.

* There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “Tax Code successfully updated”

* If not saved successfully, I should receive an unsuccessful message “Sorry ! ,  Tax Code update Unsuccessful, Try Again ”

* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen",48
PF-5678,Term_Deposit_Account Management_Manage Account_View Inqury,,24
PF-5677,Term_Deposit_Account Management_Manage Account_Teller_Managemant_Teller_Managemant(UAT),,24
PF-5676,Term_Deposit_Account Management_Manage Account_Account Activation(UAT),,24
