issuekey,title,description,storypoint,split_mark
TISTUD-6,Add CA against object literals in function invocations,"/the idea here is that if our metadata captures a type as function arg, we should be able to create an instance of that type as an object literal as an arg to a function invocation. for example:/ / /ti.ui.createlabel(  );/ /",1,train
TISTUD-9,Update branding for Appcelerator plugin to Appcelerator logo ,"/at least fix feature icons, associated natures. perhaps other screens as well./",1,train
TISTUD-11,Create new JSON schema for SDK team,"/create json schema containing properties required for proper ca. hand schema to platform team to output new docs/json files as part of new sdk releases. it may be that instead we can use the vsdoc format, in which case we will need to indicate to the sdk team additional items to be added to the docs./",1,train
TISTUD-13,Create Project References Property Page,"/create property page for project which allows manipulation of embedded references. user can add or remove references from the filesystem or url (if possible)./ /there may well be an established metaphor or existing page in php, pdt, jsdt or elsewhere. investigate reusing this page is possible or appropriate./",1,train
TISTUD-16,New Desktop Project Wizard,/desktop (need to convert existing project creation code to java). some items here: / https:/github.com/appcelerator/titaniumdeveloper/blob/master/reso.../. others here: / https:/github.com/appcelerator/titaniumdeveloper/blob/master/reso..././,1,train
TISTUD-21,Launch application on Blackberry emulator,"/note that some emulators are platform specific, so we need to restrict usage as appropriate. create launch configuration to run the application on the appropriate device emulator. copy options from tidev 1 as appropriate/",1,train
TISTUD-22,Launch application on iOS device (tethered),"/replicate experience from tidev 1, creating a launch configuration as appropriate./",1,train
TISTUD-23,Launch application on Android device (tethered),"/check for items below as part of launch configuration, but if not correct, we would open preference page/",1,train
TISTUD-24,Create packager for Desktop project,"/desktop, send zip file to web service to package, poll to see if process completed. embed web page with links to completed build./",1,train
TISTUD-25,Create packager for Mobile/iOS project,/follow existing screens/workflow as appropriate. launch wizard from right click menu in app explorer and button on app explorer top bar./,1,train
TISTUD-28,Show remote samples in Samples View,/allow alternate list of samples pulled from remote server. others would be cloned from github repo on demand using code from rubles./,1,train
TISTUD-29,Add Titanium Samples,/short list of pre packaged samples included with titanium developer plugin. kitchen sink is the obvious one./,1,train
TISTUD-30,Convert Titanium Ruble and package with Titanium Plugin,/convert existing titanium mobile ruble to aptana format. / https:/github.com/subtlegradient/javascriptappceleratortitanium.../. have to doublecheck license may need to ask for permission./,1,train
TISTUD-31,Add Sample Titanium templates,"/add in template directory, add some sample templates per titanium projects. no specific suggestions, but perhaps there is something the sdk team could suggest, at least a placeholder to the ruble so more can be added later by others./",1,train
TISTUD-32,Auto-update of Titanium SDK,"/ping web service for newer versions of sdk. if present, download and unzip into proper directory, shalom suggests reusing parts of portal code./",1,train
TISTUD-36,Launch debugger against emulators,"/add button to app explorer to help in debugging the current project. similar to launching against firefox debugger, so screens are similar./",1,train
TISTUD-37,Launch debuggers against device (tethered),/similar to other debugging options./,1,train
TISTUD-40,Add iframe for Ad Content to Welcome/Dashboard screen,retrieve content for frame from similar location as in tidev. assume some static content for offline mode.,1,train
TISTUD-44,Create new Titanium Studio Splash Screen,"there is a placeholder image for now (titaniumstudio/plugins/com.appcelerator.titanium.rcp/splash.bmp) but needs replacement. we can replace the existing size, or use a new different size, but we'll just need to configure a few new options:  http:/",1,train
