issuekey,title,description,storypoint,split_mark
APSTUD-3707,Add Copy URL actions to right-click context menu of Remote view for S3 files,"i was able to connect to our appcelerator s3 bucket to drag and drog copy image files that i wanted to refer to remotely from the desktop packaging release links webpage. but i had no easy way to tell what the various urls were that i could use to refer to the resulting s3 objects/files. cyberduck lets you right click and choose copy url > https, https, signed url (expiring in one hour, one day, or one week + one hour), torrent url.",5,train
APSTUD-23,Aptana tries to open a new instance of itself when opening files via Windows Explorer,"/assigned to /  tender issue #49/. as reported in tender:/  /  /os: win xp/  /when aptana is running and i try to open files from my windows  explorer (with double click or enter) aptana displays ""workspace in  use or cannot be created, choose a different one"" after showing the  splash screen for 23 seconds./  /dragging files into my running instance won't cause this  behavior. opening files from my project view causes no problems,  except .htaccess files. as a temp solution i chose to open  .htaccess files with notepad./  /this is what i already did (with no luck);/  /  /my installation folder and workspace folder are both  writable./  /i did several complete re installs./  /i removed the .lock file in my workspace folder./  /i created a new workspace folders and switched to it./  /i have administrator rights./  /  /creating a new workspace will fix my problem temporary but the  problem is back within a week./  /in aptana 1.2 i never saw a splash screen when aptana was  running and i opened another file. the files were just loaded in  the running instance. is this caused by eclipse 3.5?/  /this is quite annoying cause every time the splash screen shows  it either takes up 3 seconds of the file won't open due to the  locked workspace./  /",8,train
APSTUD-99,Content assist popup is shown outside the screen boundaries,"as you can see from the image, the javascript content assist popup displays outside the screen boundary to the right.  ",8,train
APSTUD-190,PHP Autocompletion for parent methods,"when you overwrite a parent method you often need to call it from the new method, example:      /      aptana does not autocomplete the methods after ""parent::""    suggested fix:    # attempt to replicate  # check to see if the item is fixed in 5.4, or in a newer version of the 5.3 parsers  # if not in our code and can't be fixed, link to pdt issue referencing the problem",13,train
APSTUD-246,Dragging an image into the HTML editor should create an image tag,"dragging an image into the editor should create a img tag.    you can view this behavior in textmate.    dropping an image onto the html editor inserts an image tag with the relative path to the image (from this html file), the hight and width, and the alt text as the initial capitalized version of the filename:    i.e. dragging ""notes.png"" gives me:      /    ",8,train
APSTUD-350,singleton scriptdoc / code completion,"given this pattern:      var myobject = function () ;     var priv = ""blubb"";     self.get = function() ;     return self;  }();      aptana studio is not able to recognise this pattern correctly.    i wonder if it's possible to tell aptana with scriptdoc. if yes, how? i've only seen comments for classes. additionally var self = {}; could be replaced by a super constructor, which is not working either.    can i expect this to be supported naturally by aptana soon? i'm really searching for a good javascript ide which also supports this  kind of writing javascript in a object oriented way.",13,train
APSTUD-378,Aptana Studio does not ship with debugger sample,"trying to get started with aptana studio debugger on a  standalone install of aptana studio 2.0 (mac os x 10.4    intel).    following online help:  ""this walkthrough will instruct you how to install the aptana  javascript debugger, add a breakpoint to your code, and display the  current values of your variables. 1. import the debugging sample as  a project.    in the samples view, expand the aptana studio samples node.    but in the samples view i don't have the specified node, i only  have samples related to plugins i have installed. where do i get  the aptana studio samples node ?",8,train
APSTUD-612,Redraw error when using JS snippet,"/this may actually be an issue with my vm, but i'm posted this in  case it's indicative of some other issue./  /  /open a js editor/  /type: for/  /type a tab/  /allow enough time to pass so that the popup appears next to the  two ""for"" snippets that are available/  /type: 2/  /  /at this point, the two popups go away but i see trash further  down the screen. that trash moves as i add/remove lines./",8,train
APSTUD-769,PHP Debugger,"this is something that was shipped with 1.5 (skipped out on 2.0 so don't know if it's there). don't know if this is planned for 3.0 (on the product page i've seen that js debugging is coming soon),  yet it would be great if this were to be found into aptana again (same goes for the ability to run a script through the php parser to get the output).    i've found the debugger to be one of the main aptana features i use during my lectures (i'm a lecturer at a technical university), helping the students to understand what's going on on ""the inside"" of a php process.",40,train
APSTUD-796,Project Explorer is showing duplicate files and folders,"in the attached image, project explorer.png, you can see the current improper behavior. in attached image, c c projects.png, you can see the expected behavior. the view is proper in project explorer for web projects. this is with a new install of eclipse helios cdt and aptana studio 3 on arch linux.    this also appears in a few other circumstances (see linked issues).",13,train
APSTUD-814,Option to remove trailing whitespace on file save,eclipse pdt provides the option to have trailing whitespace automatically removed from files on save (i.e. from the end of a line where it has no impact).    is it possible you could add this useful feature?,13,train
APSTUD-832,"Find dialog cause text selection to ""invert"" colors","this is what happens:    # i select some text   i open the find/replace dialog (i press ctrl+f then click on the magnifier icon in the search bar)  # at this point the selection is gone (like it is ""inverted"" or something similar), so the option to find/replace only in selected line is useless.    i'm on the latest build (win7) and never experienced this before. the error log is clean.",8,train
APSTUD-865,Add ability to Shift+Ctrl+arrow to select word via camel case,in my old aptana2  pdt the selection width shiftctrl+arrow selected only a single segment from a camelcaseword. in the current version the whole word in selected. is it possible to change this behaviour  somehow (maybe with an option)?,8,train
APSTUD-994,PHP: Error updating PHP error markers,  !entry com.aptana.editor.php.epl 4 0 20101002 20:54:35.764  !message error updating markers  !stack 1  org.eclipse.core.internal.resources.resourceexception: marker id 7158 not found.      at org.eclipse.core.internal.resources.marker.checkinfo(marker.java:56)      at org.eclipse.core.internal.resources.marker.setattribute(marker.java:236)      at org.eclipse.core.internal.resources.marker.setattribute(marker.java:222)      at com.aptana.editor.php.internal.core.builder.buildproblemreporter.flush(buildproblemreporter.java:121)      at org.eclipse.php.internal.core.ast.nodes.ast.flusherrors(ast.java:235)      at com.aptana.editor.php.internal.indexer.pdtphpmoduleindexer.indexmodule(pdtphpmoduleindexer.java:3789)      at com.aptana.editor.php.indexer.phpglobalindexer$wrapindexer.indexmodule(phpglobalindexer.java:116)      at com.aptana.editor.php.indexer.phpglobalindexer$7.run(phpglobalindexer.java:449)      at org.eclipse.core.internal.jobs.worker.run(worker.java:54)  !subentry 1 org.eclipse.core.resources 4 376 20101002 20:54:35.764  !message marker id 7158 not found.  ,5,train
APSTUD-1313,Auto-configure Python interpreter (if possible),"/my project indicated that i didn't have a python interpreter  configured. i managed to eventually find the dialog, clicked  ""autoconfigure"" and everything appears to be fine./  /suggest two steps. clicking on the error icon in the project  brings up a dialog asking if you'd like to configure the  interpreter. it would first try to autoconfigure the interpreter,  and then alert if it fails. it could then direct people to the  normal preference page where they could fix the problem manually if  necessary./",1,train
APSTUD-1378,Updating to latest RCP on dev installs JDT plugins,"/i noticed this by seeing no content in the app explorer, which  is something ingo had seen. after some digging, it looks like java  filters got applied, which was especially surprising since we  shouldn't have any. so i dug further and see jdt plugins in my  installation, yet i don't see them belonging to any of the  features, so i'm not sure how they got installed./",13,train
APSTUD-1469,Terminal process cannot be killed with Ctrl+C or Ctrl+Break,"/assigned to /  tender discussion #2083/. as reported in tender:/  /  /when i start a long time process in terminal window, neither can  i press ctrlc to break it, nor can i press ctrl z to pause it/  /",13,train
APSTUD-1609,JS inferencer should honor @memberOf sdoc tag,"currently, the js inferencer does not process @memberof sdoc tags. it may even be the case (likely) that the sdoc parser/scanner/model need to be extended to support this tag as well.",20,train
APSTUD-1698,No file system is defined for scheme,from the log file:      !entry org.eclipse.core.filesystem 4 566 20110208 22:01:00.387  !message no file system is defined for scheme: reference  ,5,train
APSTUD-1839,Allow to open a closed project by double-clicking on it in Project Explorer,"/i have the latest aptana 3 installed. i have the preference  selected to open projects with double click, it doesn't work. i  switched it to single click, same result, didn't work./  /let me know if you need more information!/  /thanks,/  jason/",5,train
APSTUD-1889,The editor find toolbar interrupts certain keyboard shortcuts,"scenario:  you have several tabs open, and the cursor/focus is somewhere within the ""find"" toolbar that appears at the bottom of the screen (shortcut = cmdf).    steps to reproduce:  1. open a file in the studio editor.  2. open the find toolbar (cmdf).  3. with focus in the toolbar press cmdtab.    expected behavior:  user should be able to use os keyboard shortcuts while in studio.    actual behavior:  keyboard shortcuts do no work while focus is on the find toolbar.    note:  this also happens for the open resource shortcut (cmdt) and the close window shortcut (cmd+w).",5,train
APSTUD-1978,Error deleting project attached to git,"/when i tried to delete the test  project i used above, i got ""an exception has been caught while  processing the refactoring ' delete resource' "" .../  problems encountered while deleting resources./  could not delete '/aptana25692/.git'./  /problems encountered while deleting resources./  problems encountered while deleting files./  /  /could not delete: e:\sr\documents\eclipse\aptana25692\.git\refs.  could not delete: e:\sr\documents\eclipse\aptana25692\.git./  /  /could not delete 'e:\sr\documents\eclipse\aptana25692'./  /problems encountered while deleting files./  could not delete: e:\sr\documents\eclipse\aptana25692.git\refs.  could not delete: e:\sr\documents\eclipse\aptana25692.git. could  not delete: e:\sr\documents\eclipse\aptana25692. could not delete  'e:\sr\documents\eclipse\aptana25692'./",8,train
