issuekey,title,description,storypoint,split_mark
BAM-65,Allows CVS repo to timeout and report on locking issues,"sometimes, when you perform a cvs action you get something like      cvs update: [01:38:32] waiting for mchai's lock in /cvsroot/atlassian/maven2test/bamboo      so bamboo would probably just hang and become not so happy. we should allow bamboo to timeout, or conditionally stop and tell the user how to dix the problem",3,train
BAM-932,allow a build to be placed at the head of the build queue... (or edit the queue order),nan,2,train
BAM-3476,Result not saved when checkout fails,"happened yesterday on our hosted bamboo: https:/gdansk.bamboo2.atlassian.com/browse/inttst  bamboo was upgraded from 2.0.5 to 2.15    i had build log messages like:    29jan2009 03:12:23  build inttst1067 started building on agent default agent  29jan2009 03:12:23  updating source code to revision: 26986  29jan2009 03:12:23  source found at  '/opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst'. updating source...  29jan2009 03:12:24            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/test/java/com/atlassian/theplugin/idea  29jan2009 03:12:24            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/test/java/com/atlassian/theplugin  29jan2009 03:12:24            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/test/java/com/atlassian  29jan2009 03:12:24            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/test/java/com  29jan2009 03:12:24            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/test/java  29jan2009 03:12:24            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/test  29jan2009 03:12:24            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/main/java/com/atlassian/theplugin/idea/jira  29jan2009 03:12:24            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/main/java/com/atlassian/theplugin/idea/crucible/tree  29jan2009 03:12:24  u         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/main/java/com/atlassian/theplugin/idea/crucible/editor/opendifftoolaction.java  29jan2009 03:12:24  u         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst/src/main/java/com/atlassian/theplugin/idea/crucible/editor/crucibleeditorfactorylistener.java  29jan2009 03:12:25  error occurred while executing the build for inttst1067 : unable to retrieve source code to '26986' for 'inttst'  29jan2009 03:15:23  change detection found 11 changes  29jan2009 03:15:23  build inttst1068 started building on agent default agent        29jan2009 03:30:13   build inttst21 started building on agent default agent  29jan2009 03:30:13  updating source code to latest  29jan2009 03:30:13  working directory '/opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2' is empty. checking out svn url 'https:/studio.atlassian.com/svn/pl/trunk/atlassianintellijconnector'  29jan2009 03:30:15  u         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/license  29jan2009 03:30:15  u         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/atlassianideaplugin.ipr  29jan2009 03:30:15  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/doc  29jan2009 03:30:16  error occurred while executing the build for inttst21 : failed to checkout source code to revision 'head' for https:/studio.atlassian.com/svn/pl/trunk/atlassianintellijconnector  29jan2009 03:34:06  manual build triggered by wseliga  29jan2009 03:34:06  build inttst22 started building on agent default agent  29jan2009 03:34:06  updating source code to latest  29jan2009 03:34:06  source found at  '/opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2'. updating source...  29jan2009 03:34:09  d         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/doc  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/docs  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/com  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/com/atlassian  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/com/atlassian/theplugin  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/com/atlassian/theplugin/bamboo  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/com/atlassian/theplugin/bamboo/api  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/com/atlassian/theplugin/idea  29jan2009 03:34:09  u         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/com/atlassian/theplugin/idea/genericserverconfigurationformtest.java  29jan2009 03:34:09  a         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/inttst2/src/test/java/com/atlassian/theplugin/idea/bamboo  29jan2009 03:34:10  error occurred while executing the build for inttst22 : unable to retrieve source code to 'null' for 'inttst2      or       u         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/intcs/src/main/java/com/atlassian/theplugin/idea/crucible/cruciblerevisionsnumber.java  29jan2009 03:37:10  u         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/intcs/src/main/java/com/atlassian/theplugin/idea/crucible/tree/reviewitemtreepanel.java  29jan2009 03:37:10            /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/intcs/src/main/java/com/atlassian/theplugin/idea/crucible/tree  29jan2009 03:37:10  u         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/intcs/src/main/java/com/atlassian/theplugin/idea/crucible/cruciblecreatepostcommitreviewform.java  29jan2009 03:37:10  d         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/intcs/src/main/java/com/atlassian/theplugin/idea/crucible/editor/editordiffactionimpl.java  29jan2009 03:37:10  d         /opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/intcs/src/main/java/com/atlassian/theplugin/idea/crucible/editor/editorupdatediffactionimpl.java  29jan2009 03:37:11  error occurred while executing the build for intcs1177 : unable to retrieve source code to '26987' for 'intcs'  29jan2009 03:38:20  purging the checked out code from ""/opt/j2ee/domains/bamboo2.atlassian.com/gdansk/webapps/data/bamboo2.0.2attempt/xmldata/builddir/intcs""  29jan2009 03:38:30  manual build triggered by wseliga  29jan2009 03:38:30  build intcs1178 started building on agent default agent  29jan2009 03:38:30  updating source code to revision: 26987      however executing svn co from command line on exactly the same host where bamboo was installed (with the same credentials even) worked fine.    there were two problems:   bamboo did bump up build number and this build failed, but nowhere it was really shown. i.e. on dashboard (and via remote api) i still got last build as successful. and although my build number (in above logs) was now greater than 1000, bamboo claimed on dashboard and via api that the last build is e.g. 500 (which happened to be the last one before these problems started)   cleaning working dir or full checkout did not help    i solved this problem by full clean and using anonymous svn access or my private account. only then bamboo finally showed new build on dashboard (with number > 1000) and its real status.    i suspect the problem may be also somehow connected to our svn server which could have applied some security policies to avoid dos attacks from bamboo (bamboo every 3 minutes   above 500 hundred times) was trying to checkout from svn the sources without success.  ",2,train
BAM-3612,Talkback from elastic agent to bamboo server to include EBS volume mount results,when an elastic instance/agent is configured to mount a ebs volume containing a snapshot during startup the progress/success/fail should be fed back to bamboo server for display.  the log in /tmp/setupebssnapshot.log could be used to process progress and results.,2,train
BAM-3616,"Users can see the maven module (groupid, artifactid, version) against each plan.", should respect the subworking directory. only look for poms under the subworking directory   only read top level pom for modules   pom is read only when building.   this is only read only    each plan may have multiple artifacts,5,train
BAM-3620,PostBuildProcessor plugin to kick off the Maven pom.xml parsing,consider running on remote agents.  can functional test the postbuilderprocessor plugin behavior.  ,2,train
BAM-3621,Get Bamboo functional tests passing in the cloud,nan,5,train
BAM-3626,Allow gadget server plugin to be incorporated into Bamboo.,"does not include oauth, nor sal  read this for more details:  http:/extranet.atlassian.com/display/bamboo/plugins2estimate  ",5,train
BAM-3631,Implement SAL part 1,the goal was goal to get 100% compatible with the sal compatibility kit however we are only tackling a subset of sal implementation.  we should figure how much of the compatibility kit we are targeting.    note   i changed this from 8 storypoints to 5 given that we are not tackling all of sal.  ,5,train
BAM-3633,Implement SAL part 2,this is the remaining work for sal.  see bam 3631 for part 1.,8,train
