issuekey,title,description,storypoint,split_mark
CLOV-1086,Line coverage data is inconsistent,"i'm running 2.4.1 on idea 7 and get inconsistent line and branch coverage in the editor: every line that is hit by the a test always gets ""1"" as the hitcount.  ",2,train
CLOV-379,Surefire classpath is incorrect when depending on a jar and a test-jar from the same maven module,"we have two different applications that have the same symptom. their test cases work properly when executed without clover, but when we run them with clover, they fail because classes or resource files are missing from the classpath.    when running the builds with clover, the test cases are executed multiple times. only the last time they run they fail. when checking the maven debug output (using the x option), i found that the last time the test cases are run, a jar file is missing from the classpath. with both applications it is a jar file from a maven module for which we both depend on the jar and testjar types of the module.     for example we have the following in the pom.xml file:            /              /$/              /serverdataaccess/              /$/              /testjar/              /test/          /          /              /$/              /serverdataaccess/              /$/          /    and for some reason, when the test cases are executed for the last time, the following second dependency is not included in the list of jars in the classpath.    i have attached the pom.xml files from the module for which the test cases fail (serverweb.pom), the pom.xml files from its parents, the pom.xml file for the module that generates both a jar and a testjar (serverdataaccess.pom) and the log file that i get when running maven with the x option.    this is the classpath when the test cases fail (notice that  /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverdataaccess/target/serverdataaccess1.0.2snapshot.jar is missing):  build 20nov2008 08:47:57 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverweb/target/testclasses  build 20nov2008 08:47:57 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverweb/target/classes  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/xerces/xercesimpl/2.9.1/xercesimpl2.9.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/xmlapis/xmlapis/1.3.04/xmlapis1.3.04.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/servermodel/target/servermodel1.0.2snapshot.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/commonslang/commonslang/2.1/commonslang2.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serveractions/target/serveractions1.0.2snapshot.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/commonslogging/commonslogging/1.0.4/commonslogging1.0.4.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/log4j/log4j/1.2.13/log4j1.2.13.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/util/8.19.0/util8.19.0.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/tkutil/8.19.0/tkutil8.19.0.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/jboss/netty/netty/3.0.0.ga/netty3.0.0.ga.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/springframework/spring/2.5.6/spring2.5.6.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/servercore/target/servercore1.0.2snapshot.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverdataaccess/target/serverdataaccess1.0.2snapshottests.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernate/3.2.6.ga/hibernate3.2.6.ga.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/net/sf/ehcache/ehcache/1.2.3/ehcache1.2.3.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/commonscollections/commonscollections/2.1.1/commonscollections2.1.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/javax/transaction/jta/1.0.1b/jta1.0.1b.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/asm/asmattrs/1.5.3/asmattrs1.5.3.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/dom4j/dom4j/1.6.1/dom4j1.6.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/antlr/antlr/2.7.6/antlr2.7.6.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/cglib/cglib/2.13/cglib2.13.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/asm/asm/1.5.3/asm1.5.3.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernateannotations/3.3.0.ga/hibernateannotations3.3.0.ga.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/javax/persistence/persistenceapi/1.0/persistenceapi1.0.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernatecommonsannotations/3.3.0.ga/hibernatecommonsannotations3.3.0.ga.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernatevalidator/3.0.0.ga/hibernatevalidator3.0.0.ga.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernatesearch/3.0.0.ga/hibernatesearch3.0.0.ga.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/apache/lucene/lucenecore/2.2.0/lucenecore2.2.0.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/javax/servlet/servletapi/2.3/servletapi2.3.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/drools/droolscore/4.0.7/droolscore4.0.7.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/mvel/mvel/1.3.1java1.4/mvel1.3.1java1.4.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/commonsio/commonsio/1.4/commonsio1.4.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/javax/j2ee/1.3/j2ee1.3.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/sun/xml/bind/jaxbimpl/2.1.3/jaxbimpl2.1.3.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/javax/xml/bind/jaxbapi/2.1/jaxbapi2.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/javax/xml/stream/staxapi/1.02/staxapi1.02.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/javax/activation/activation/1.1/activation1.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/common/commonconfiguration/1.0.25/commonconfiguration1.0.25.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/opensymphony/oscache/2.1.1/oscache2.1.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/bmlcore/8.20.0snapshot/bmlcore8.20.0snapshot.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/cache/8.20.0snapshot/cache8.20.0snapshot.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/common/commonspringutil/1.0.25/commonspringutil1.0.25.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/esper/esper/2.2.0/esper2.2.0.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/antlr/antlrruntime/3.0.1/antlrruntime3.0.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/org/antlr/stringtemplate/3.1b1/stringtemplate3.1b1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/quartz/quartz/1.5.2/quartz1.5.2.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/junit/junit/3.8.1/junit3.8.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/mockrunner/mockrunner/0.3.1/mockrunner0.3.1.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/common/commonabstractunittests/1.0.25/commonabstractunittests1.0.25tests.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/unittest/8.20.0snapshot/unittest8.20.0snapshot.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverdataaccess/target/serverdataaccess1.0.2snapshottests.jar  build 20nov2008 08:47:57 [debug]   /opt/bamboo/.m2/repository/com/oracle/oraclejdbc/10.2.0.2.0/oraclejdbc10.2.0.2.0.jar    this is the classpath for when it succeeds:  build 20nov2008 08:45:07 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverweb/target/testclasses  build 20nov2008 08:45:07 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverweb/target/classes  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/xerces/xercesimpl/2.9.1/xercesimpl2.9.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/xmlapis/xmlapis/1.3.04/xmlapis1.3.04.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/servermodel/target/servermodel1.0.2snapshot.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/commonslang/commonslang/2.1/commonslang2.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serveractions/target/serveractions1.0.2snapshot.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/commonslogging/commonslogging/1.0.4/commonslogging1.0.4.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/log4j/log4j/1.2.13/log4j1.2.13.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/util/8.19.0/util8.19.0.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/tkutil/8.19.0/tkutil8.19.0.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/jboss/netty/netty/3.0.0.ga/netty3.0.0.ga.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/springframework/spring/2.5.6/spring2.5.6.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/servercore/target/servercore1.0.2snapshot.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverdataaccess/target/serverdataaccess1.0.2snapshot.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernate/3.2.6.ga/hibernate3.2.6.ga.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/net/sf/ehcache/ehcache/1.2.3/ehcache1.2.3.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/commonscollections/commonscollections/2.1.1/commonscollections2.1.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/javax/transaction/jta/1.0.1b/jta1.0.1b.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/asm/asmattrs/1.5.3/asmattrs1.5.3.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/dom4j/dom4j/1.6.1/dom4j1.6.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/antlr/antlr/2.7.6/antlr2.7.6.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/cglib/cglib/2.13/cglib2.13.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/asm/asm/1.5.3/asm1.5.3.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernateannotations/3.3.0.ga/hibernateannotations3.3.0.ga.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/javax/persistence/persistenceapi/1.0/persistenceapi1.0.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernatecommonsannotations/3.3.0.ga/hibernatecommonsannotations3.3.0.ga.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernatevalidator/3.0.0.ga/hibernatevalidator3.0.0.ga.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/hibernate/hibernatesearch/3.0.0.ga/hibernatesearch3.0.0.ga.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/apache/lucene/lucenecore/2.2.0/lucenecore2.2.0.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/javax/servlet/servletapi/2.3/servletapi2.3.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/drools/droolscore/4.0.7/droolscore4.0.7.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/mvel/mvel/1.3.1java1.4/mvel1.3.1java1.4.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/commonsio/commonsio/1.4/commonsio1.4.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/javax/j2ee/1.3/j2ee1.3.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/sun/xml/bind/jaxbimpl/2.1.3/jaxbimpl2.1.3.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/javax/xml/bind/jaxbapi/2.1/jaxbapi2.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/javax/xml/stream/staxapi/1.02/staxapi1.02.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/javax/activation/activation/1.1/activation1.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/common/commonconfiguration/1.0.25/commonconfiguration1.0.25.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/opensymphony/oscache/2.1.1/oscache2.1.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/bmlcore/8.20.0snapshot/bmlcore8.20.0snapshot.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/cache/8.20.0snapshot/cache8.20.0snapshot.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/common/commonspringutil/1.0.25/commonspringutil1.0.25.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/esper/esper/2.2.0/esper2.2.0.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/antlr/antlrruntime/3.0.1/antlrruntime3.0.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/org/antlr/stringtemplate/3.1b1/stringtemplate3.1b1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/quartz/quartz/1.5.2/quartz1.5.2.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/junit/junit/3.8.1/junit3.8.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/mockrunner/mockrunner/0.3.1/mockrunner0.3.1.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/common/commonabstractunittests/1.0.25/commonabstractunittests1.0.25tests.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/i4commerce/bml/unittest/8.20.0snapshot/unittest8.20.0snapshot.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/bamboo/xmldata/builddir/monitoringnightly/monitoringserver/serverdataaccess/target/serverdataaccess1.0.2snapshottests.jar  build 20nov2008 08:45:07 [debug]   /opt/bamboo/.m2/repository/com/oracle/oraclejdbc/10.2.0.2.0/oraclejdbc 10.2.0.2.0.jar",2,train
CLOV-1083,Setting special instrumentation output dir to a source dir deletes all source!,nan,1,train
CLOV-579,Add method/statement level instrumentation setting in project properties page ,nan,1,train
CLOV-582,Make Test Run Explorer perform better and stop locking the UI thread,nan,4,train
CLOV-1085,Message in Balloon after clean snapshot is bogus,# clean shapshot  # first optimised test run the balloon message is ok (see cij 272 re my thoughts on it)  # second optmised test run has some odd figures in it relating to expected savings and total test run time.    ,2,train
CLOV-1084,"No instrumentation Done, Always get two Tests run.","although 0 instr. was done, i still see two tests run.      20090508 14:19:48,851 [8933804]   info  a.clover.corev2.5.0builddev  updating existing database at '/users/niick/work/clovtrunk/.clover/coverage.db'.   20090508 14:19:49,638 [8934591]   info  a.clover.corev2.5.0builddev  processing files at 1.5 source level.   20090508 14:19:52,664 [8937617]   info  a.clover.corev2.5.0builddev  clover all over. instrumented 0 files (0 packages).   20090508 14:19:52,664 [8937617]   info  a.clover.corev2.5.0builddev  elapsed time = 3.026 secs. (0 files/sec, 0 srclines/sec)   20090508 14:19:52,664 [8937617]   info  over.idea.build.clovercompiler  completed instrumentation.   20090508 14:19:53,738 [8938691]   info  a.clover.corev2.5.0builddev  clover estimates having saved around 41 seconds on this optimized test run. the full test run takes approx. 41 seconds   20090508 14:19:53,738 [8938691]   info  a.clover.corev2.5.0builddev  clover included 2 test classes in this run (total # test classes : 84)   20090508 14:19:54,689 [8939642]   info         cloverprogressindicator  creating database   20090508 14:19:54,690 [8939643]   info         cloverprogressindicator  loading registry file   20090508 14:19:56,686 [8941639]   info         cloverprogressindicator  building index   20090508 14:19:56,686 [8941639]   info         cloverprogressindicator  loading coverage data   20090508 14:19:56,758 [8941711]   info         cloverprogressindicator  reading pertest data   20090508 14:19:56,995 [8941948]   info         cloverprogressindicator  resolving coverage data   20090508 14:19:57,345 [8942298]   info         cloverprogressindicator  creating tree   20090508 14:19:57,480 [8942433]   info         cloverprogressindicator  tree model ready     ",1,train
CLOV-573,Clover should prompt to rebuild a project if its flush or initstring settings change,nan,1,train
CLOV-701,Test Columns are empty (or -1) in project.js when generated via a JSON report  ,"when a json report is generated, the test fields:  ""erroneoustests"":0,""failingtests"":0,""filteredelements"":0.42738318,""passingtests"":0,""pcerroneoustests"":1,""pcfailingtests"":1,""pcpassingtests"":1,""testexecutiontime"":0,""tests"":0,    are all 1 or 0 in the project.js.  e.g.  https:/bamboo.extranet.atlassian.com/browse/ccdwclv488/artifact/clover html/project.js    the test data is definitely available in the html report.",2,train
CLOV-906,Clover-for-Grails generates an exception when using the -clover.view option on the Grails command line.,"cloverforgrails generates an exception when using the clover.view option on the grails command line. according to nick's assessment so far, this is a windowsspecific problem.    see output below:      c:\grails1.2.1\samples\petclinic>grails testapp clover.on clover.view  welcome to grails 1.2.1  http:/grails.org/  licensed under apache standard license 2.0  grails home is set to: c:\grails1.2.1    base directory: c:\grails1.2.1\samples\petclinic  resolving dependencies...  dependencies resolved in 2641ms.  running script c:\grails1.2.1\scripts\testapp.groovy  environment set to test  clover: using config: [on:true, view:true]  using clover license path: c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\plugins\clover0.2\grailsapp\conf\clover\cloverevaluation.  license  [cloverenv] loading clover.xml: jar:file:/c:/documents%20and%20settings/giles%20gaskell/.ivy2/cache/com.cenqua.clover/clover/jars/clover3.0.0m3.jar!/clover.x  ml  using default cloversetup configuration.  clover:                 directories: [src/java, src/groovy, test, grailsapp]                 includes:    [/.groovy, /.java]                 excludes     [/conf/, /plugins/]  [cloversetup] clover version 3.0.0m3, built on february 26 2010 (build780)  [cloversetup] loaded from: c:\documents and settings\giles gaskell\.ivy2\cache\com.cenqua.clover\clover\jars\clover3.0.0m3.jar  [cloversetup] clover evaluation license registered to clover grails plugin.  [cloversetup] you have 23 day(s) before your license expires.  [cloversetup] clover is enabled with initstring 'c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\clover\db\clover.db'  clover: forcing a clean to ensure clover instrumentation occurs. disable by setting: clover.forceclean=false     [delete] deleting directory c:\grails1.2.1\samples\petclinic\target\classes     [delete] deleting directory c:\grails1.2.1\samples\petclinic\target\testclasses     [delete] deleting directory c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\clover  clover: compile start.      [mkdir] created dir: c:\grails1.2.1\samples\petclinic\target\classes    [groovyc] compiling 2 source files to c:\grails1.2.1\samples\petclinic\target\classes  [cloversetup] creating new database at 'c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\clover\db\clover.db'.    [groovyc] compiling 17 source files to c:\grails1.2.1\samples\petclinic\target\classes  [cloversetup] creating new database at 'c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\clover\db\clover.db'.      [mkdir] created dir: c:\grails1.2.1\samples\petclinic\target\testreports\html      [mkdir] created dir: c:\grails1.2.1\samples\petclinic\target\testreports\plain    starting unit test phase ...      [mkdir] created dir: c:\grails1.2.1\samples\petclinic\target\testclasses\unit    [groovyc] compiling 1 source file to c:\grails1.2.1\samples\petclinic\target\testclasses\unit  [cloversetup] updating existing database at 'c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\clover\db\clover.db'.      running 1 unit test...  running test org.grails.samples.ownercontrollertests...passed  tests completed in 2015ms ...    tests passed: 6  tests failed: 0      starting integration test phase ...       [copy] copying 1 file to c:\grails1.2.1\samples\petclinic\target\testclasses\integration       [copy] copying 1 file to c:\grails1.2.1\samples\petclinic\target\testclasses       [copy] copied 3 empty directories to 2 empty directories under c:\grails1.2.1\samples\petclinic\target\testclasses  clover: compile start.    [groovyc] compiling 1 source file to c:\grails1.2.1\samples\petclinic\target\classes  [cloversetup] updating existing database at 'c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\clover\db\clover.db'.       [copy] copying 1 file to c:\grails1.2.1\samples\petclinic\target\classes  clover: compile start.    [groovyc] compiling 1 source file to c:\grails1.2.1\samples\petclinic\target\classes  [cloversetup] updating existing database at 'c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\clover\db\clover.db'.  [junitreport] processing c:\grails1.2.1\samples\petclinic\target\testreports\teststestsuites.xml to c:\docume1\gilesg1\locals1\temp\null1750708552  [junitreport] loading stylesheet jar:file:/c:/documents%20and%20settings/giles%20gaskell/.ivy2/cache/org.apache.ant/antjunit/jars/antjunit1.7.1.jar!/org/apac  he/tools/ant/taskdefs/optional/junit/xsl/junitframes.xsl  [junitreport] transform time: 735ms  [junitreport] deleting: c:\docume1\gilesg1\locals1\temp\null1750708552    tests passed  view reports in target\testreports  clover: tests ended  [cloverhistorypoint] clover version 3.0.0m3, built on february 26 2010 (build780)  [cloverhistorypoint] loaded from: c:\documents and settings\giles gaskell\.ivy2\cache\com.cenqua.clover\clover\jars\clover3.0.0m3.jar  [cloverhistorypoint] clover evaluation license registered to clover grails plugin.  [cloverhistorypoint] you have 23 day(s) before your license expires.  [cloverhistorypoint] writing report to 'c:\grails1.2.1\samples\petclinic\.cloverhistory\clover20100305112533.xml.gz'  [cloverhtmlreport] clover version 3.0.0m3, built on february 26 2010 (build780)  [cloverhtmlreport] loaded from: c:\documents and settings\giles gaskell\.ivy2\cache\com.cenqua.clover\clover\jars\clover3.0.0m3.jar  [cloverhtmlreport] clover evaluation license registered to clover grails plugin.  [cloverhtmlreport] you have 23 day(s) before your license expires.  [cloverhtmlreport] not overwriting existing history point 'c:\grails1.2.1\samples\petclinic\.cloverhistory\clover20100305112533.xml.gz'. to force, set overw  rite=""true"".  [cloverhtmlreport] loading coverage database from: 'c:\documents and settings\giles gaskell\.grails\1.2.1\projects\petclinic\clover\db\clover.db'  [cloverhtmlreport] loading historical coverage data from: 'c:\grails1.2.1\samples\petclinic\.cloverhistory'  [cloverhtmlreport] writing html report to 'c:\grails1.2.1\samples\petclinic\build\clover\report'  [cloverhtmlreport] done. processed 1 packages in 3047ms (3047ms per package).  [cloverhtmlreport] writing historical report to 'c:\grails1.2.1\samples\petclinic\build\clover\report'  [cloverhtmlreport] read 3 history points.  [cloverhtmlreport] using movers interval of 18 hours  [cloverhtmlreport] using movers interval of 18 hours  [cloverhtmlreport] writing json historicaldata to: c:\grails1.2.1\samples\petclinic\build\clover\report\historicaljson.js  [cloverhtmlreport] done.  error executing script testapp: java.lang.stringindexoutofboundsexception: string index out of range: 1  gant.targetexecutionexception: java.lang.stringindexoutofboundsexception: string index out of range: 1          at gant.gant$dispatchclosure4.docall(gant.groovy:331)          at gant.gant$dispatchclosure6.docall(gant.groovy:334)          at gant.gant$dispatchclosure6.docall(gant.groovy)          at gant.gant.withbuildlisteners(gant.groovy:344)          at gant.gant.this$2$withbuildlisteners(gant.groovy)          at gant.gant$this$2$withbuildlisteners.callcurrent(unknown source)          at gant.gant.dispatch(gant.groovy:334)          at gant.gant.this$2$dispatch(gant.groovy)          at gant.gant.invokemethod(gant.groovy)          at gant.gant.processtargets(gant.groovy:495)          at gant.gant.processtargets(gant.groovy:480)  caused by: java.lang.stringindexoutofboundsexception: string index out of range: 1          at java.lang.string.charat(string.java:687)          at java.util.regex.matcher.appendreplacement(matcher.java:703)          at java.util.regex.matcher.replaceall(matcher.java:813)          at java.lang.string.replaceall(string.java:2190)          at events.launchreport(events.groovy:138)          at events$runclosure6.docall(events.groovy:108)          at grailseventsgroovy$runclosure5.docall(grailseventsgroovy:58)          at grailseventsgroovy$runclosure5.call(grailseventsgroovy)          at grailstestgroovy$runclosure1.docall(grailstestgroovy:214)          at testapp$runclosure1.docall(testapp.groovy:102)          at gant.gant$dispatchclosure4.docall(gant.groovy:324)          ... 10 more  error executing script testapp: java.lang.stringindexoutofboundsexception: string index out of range: 1  application context shutting down...  application context shutdown.  ",1,train
