issuekey,title,description,storypoint,split_mark
DM-4,Transition git repositories to Stash,transition gitolite managed repositories to atlassian stash.,10,train
DM-8,Finalize DM mission statement,"the proposed mission statement for the lsst software stack development:  enabling lsst science by creating a well documented, stateoftheart, highperformance, scalable, multicamera, open source, o/ir survey data processing and analysis system  with the following rationale:   well documented  as otherwise it will be impossible to maintain or be usable for level 3  stateoftheart  because the quality of the instrument and needs of the science to be systematic limited require us to develop new algorithms an break new ground in a number of areas  highperformance  because of the massive amount of data we need to process for a reasonable budget  scalable  because we need it to run from between a single core (for developers, or level 3 users) to tens of thousands of cores (for data release production)  multicamera  because we need to process precursor data for development purposes, and because our asdelivered camera won't be ideal.  open source   because we want the community and future surveys to benefit from our efforts. ",2,train
DM-9,Open up LSST software mailing lists,"we all benefit from making lsst software development as open as possible and conducive to outside volunteer contributions (). one way to increase community involvement is to open up our development mailing lists to the public, analogous to the way other open source projects do. for example, we could have:   softwaredevel@lsstcorp.org: the development mailing list, equivalent to current lsstdata  softwareusers@lsstcorp.org: the users mailing list, equivalent to current lsstdmstackusers mailing list (but it could possibly be replaced by stackoverflow/confluence questions)  lsstdm@lsstcorp.org: internal, dmstaff only mailing list, for the rare discussions/notices that should go out to staff only.  ( ) though we don't rely on them for meeting the project specs (legally required disclaimer :) ).",1,train
DM-10,Transition to Confluence Questions,"open the confluence questions site, for interaction with the community (and to enable community self help).  ",10,train
DM-17,Add derivatives-based optimizer to meas_multifit,"see https:/dev.lsstcorp.org/trac/ticket/3146  story points estimate is for remaining work only (just the code review, which is still substantial).",10,train
DM-20,Release EUPS 1.3.0,release eups 1.3.0 in rhl's github repository.,1,train
DM-21,Determine final URL/location for W'14 stack,need to know where w'14 stack files are going to be housed.,1,train
DM-22,Update newinstall.sh to check for existence of git and python on users' machines,nan,1,train
DM-23,Confirm stack builds on OS X 10.8,nan,1,train
DM-25,Build Winter'14 release,run lsst build scripts and 'eups distrib create' to build the winter'14 release.,1,train
DM-26,Update installation instructions,update confluence instructions on how to install the winter'14 stack.  the instructions are at: https:/confluence.lsstcorp.org/display/lswug/lsstsoftwareuser+guide,1,train
DM-28,Modify gitolite permissions to allow issue/DM-NNNN branches,"use issue/dm nnnn branches for issues tracked in jira, to differentiate them from tickets/nnnn branches that are still in trac.",1,train
DM-52,Qserv configuration - detailed design,detailed design covering how all qserv components will be configured for runtime. ,3,train
DM-53,Node configuration and bootstrapping - detailed design,"design covering how all qserv components will be configured for runtime.  design how new qserv nodes will be bootstrapped when we add them to the cluster, and how already added nodes will get updated after they were offline (crashed, turned off for maintenance etc) ",6,train
DM-55,Node bootstrapping - 1st prototype,nan,15,train
DM-56,Zookeeper-based CSS (v1),nan,40,train
DM-66,switch back to throwing exceptions in css/Facede.cc,nan,1,train
DM-70,Rewrite xrootd-facing code,"this task is related to dmtf1657009. it involves plugin in the new xrootd client (which has different interfaces, it is all async etc). we expect to also do a major cleanup on the code that is talking to xrootd while plugging in the new xrootd.",30,train
DM-71,Data Distribution Design v1,"need to come up with detailed design covering how we will deal with data distribution: managing multiple replicas, recovering from faults, adding new nodes to the cluster, registering new data from l2 ingest and user data (l3).",8,train
