issuekey,title,description,storypoint,split_mark
DURACLOUD-4,Document logging framework,"store client: whenever used, creates a c:/ directory and several directories underneath it to store its log files.  sending logs to stdout by default and/or having a documented way to changes this would be good.",1,train
DURACLOUD-10,Allow for simple updating of project version numbers,it should be easy/simple to update the version number of all parts of the baseline for each release.,3,train
DURACLOUD-19,Bulk load: Verify successful DuraCloud ingest of 10TB of BHL content,nan,16,train
DURACLOUD-21,JPEG2K: Image conversion service,service wrapper and service to perform conversion of images from tiff to jpeg2k.,8,train
DURACLOUD-22,JPEG2K: Image server service,service wrapper and service to serve jpeg2k images.,5,train
DURACLOUD-23,JPEG2K: Image viewer service,service wrapper and service to display jpeg2k images.,3,train
DURACLOUD-25,Messaging: Add support for all DuraStore methods,add messaging support for all methods available through the durastore rest api. define an appropriate topic heirarchy.  example uses:  allows for a greater degree of replication filtering  allows for replication on update/delete   allows for creation of a provenance service ,3,train
DURACLOUD-28,Replication: handle replication on update/delete ,nan,3,train
DURACLOUD-29,Replication: bulk from existing store to new/empty store ,handles the replication of content from an existing store/space into a new store/space. this allows for starting up a new replicated store.,7,train
DURACLOUD-38,Security: Add application security (basic auth),nan,13,train
DURACLOUD-39,Indexing service for space/content properties/tags (Search) ,"this includes listening for changes to spaces/content and making the calls to have the information included in the search engine index. note that there needs to be a search engine started and available for this to work.  prior to working this task, a choice will need to be made as to the indexing tools used. the most likely candidates are aws cloudsearch (http:/aws.amazon.com/cloudsearch) and apache solr (http:/lucene.apache.org/solr/. various comparisons (http:/harish11g.blogspot.in/2012/12/amazoncloudsearchvsapachesolr.html) can be found to assist in this selection.  this task does not include updates to the ui or rest api to support users querying the index.  ",8,train
DURACLOUD-41,Integrity: check on demand (rely on DuraCloud generated hashes) ,should allow for after ingest checksum validation. test case: use to validate a replicated content store.,13,train
DURACLOUD-60,Allow expected checksum value to be included when adding a content item,update the durastore rest api call for storing a content item to allow for including an md5 checksum value which is compared with the stored file's checksum to ensure that the file was received correctly.,2,train
DURACLOUD-61,Handle files larger than 5GB,"amazon s3 limits files size to 5gb, but many of our customers will want to store files larger than this. durastore should facilitate this by handling the chunking of large files into smaller files during transfer. files will need to be stitched back together on download as well. ideally this will all be transparent to the user, even as far as multiple files appearing as one in the space listing (with the proper total file size.)  ",3,train
DURACLOUD-62,Enable Pax-logging,"as the use of the osgi container and paxtooling increases, it is important that the container enables the configuration of bundlelevel logging.  resources: http:/ekkescorner.wordpress.com/2009/09/03/osgiloggingpart2logservicesvsclassiclogger/ http:/fedoracommons.org/jira/browse/fcrepo 630",2,train
DURACLOUD-63,Production AMI continuous integration testing,a suite of automated tests should be created to run on a schedule that:  start instances of production amis  check the tabs/fields/buttons of duradmin  start/verify each service  verify content actions ,5,train
DURACLOUD-64,Update the development AMI,"update the tomcat user in the development ami to allow calling of aptget via sudo with no password. steps:  call 'visudo'  add this line to the end of the file: tomcat  all=nopasswd:/usr/bin/aptget  also, add any necessary systemproperties for enabling servicesutil to initialize $bundle.home  ",1,train
DURACLOUD-65,Create utility for durastore & duraservice initialization,nan,1,train
DURACLOUD-66,Initialize servicesadmin $bundle.home at runtime,"currently $bundle.home is a buildtime configuration item. since the deployment machine will likely have a different setup than any particular build machine, it would be useful to allow $bundle.home to be set at runtime. note: this has been avoided in the past by building the deployed projects on the deployment machine.  solutions may potentially be:  initialize from rest call  initialize from ~/file baked into ami   initialize from system property (most tempting)",1,train
DURACLOUD-68,Integrate j2k viewer with duradmin content browse,"although the j2k viewer is currently enabled, it needs to be tied to the duradmin content browse in order to be useful for jpeg2000 content.",3,train
