issuekey,title,description,storypoint,split_mark
GHS-1271,As a JIRA Administrator I would like to be able to change the trigger of the night service,nan,5,train
JSW-1271,As a JIRA Administrator I would like to be able to change the trigger of the night service,nan,5,train
GHS-1681,Generic webwork aliases may clash with other plugins,"some web work actions have commands that have very generic aliases, such as ""update"", ""move"" and ""synch"" etc. these aliases have a good chance to clash with the action name or aliases used by other plugins.  these aliases should be given a name specific to the plugin, such as ""updategreenhopperdropboard""... alternatively, the bang syntax can be used in place of command aliases, such as ""dropboardaction!update"". in this case, there is no need to define aliases for commands. (however, still need to define alias as an empty string; otherwise, a npe will be thrown when parsing the xml.)",5,train
JSW-1681,Generic webwork aliases may clash with other plugins,"some web work actions have commands that have very generic aliases, such as ""update"", ""move"" and ""synch"" etc. these aliases have a good chance to clash with the action name or aliases used by other plugins.  these aliases should be given a name specific to the plugin, such as ""updategreenhopperdropboard""... alternatively, the bang syntax can be used in place of command aliases, such as ""dropboardaction!update"". in this case, there is no need to define aliases for commands. (however, still need to define alias as an empty string; otherwise, a npe will be thrown when parsing the xml.)",5,train
GHS-1819,"Add text to the Agile Gadget ""Invalid Project"" message","when the error is ""invalid project"" add details that the project is not configured for use with greenhopper  ""invalid project  http:/confluence.atlassian.com/display/gh/configuringyourgreenhopperglobalsettings#configuringyourgreenhopperglobalsettings context""",2,train
JSW-1819,"Add text to the Agile Gadget ""Invalid Project"" message","when the error is ""invalid project"" add details that the project is not configured for use with greenhopper  ""invalid project  http:/confluence.atlassian.com/display/gh/configuringyourgreenhopperglobalsettings#configuringyourgreenhopperglobalsettings context""",2,train
GHS-1882,Greenhopper ranking field is not displayed correctly if using Confluence Jira Issues macro,"when using greenhopper ranking field in conjunction with the jiraissues macro, the actual database field value is being reported in xml rather than a sanitized version.",20,train
JSW-1882,Greenhopper ranking field is not displayed correctly if using Confluence Jira Issues macro,"when using greenhopper ranking field in conjunction with the jiraissues macro, the actual database field value is being reported in xml rather than a sanitized version.",20,train
GHS-2047,"Version can be set in the create issue screen in JIRA, but not in GreenHopper","costumer has a project in which some users don't have schedule permission which means that they cannot manage the project backlog. however, they need the ability to raise new defects inside a specific version, e.g. when testing that sprint/version. they can do this via the jira create new issue screen. but they cannot do this via the greenhopper user interface (when using the button ""new card"", the version is fixed as ""unscheduled""). in this case, the user should have the ability to set the version in both jira (create issue) and greenhopper (new card) screens.",5,train
JSW-2047,"Version can be set in the create issue screen in JIRA, but not in GreenHopper","costumer has a project in which some users don't have schedule permission which means that they cannot manage the project backlog. however, they need the ability to raise new defects inside a specific version, e.g. when testing that sprint/version. they can do this via the jira create new issue screen. but they cannot do this via the greenhopper user interface (when using the button ""new card"", the version is fixed as ""unscheduled""). in this case, the user should have the ability to set the version in both jira (create issue) and greenhopper (new card) screens.",5,train
GHS-2478,As a user I would like the ability to see a horizontal swimlane on my Rapid Board,"cos:  based on issue priority blocker  only show swimlane when necessary  warning if swimlane exceeds max amount  jql longer term    in order to implement kanban concepts like service class, etc. we need to be able to create horizontal swimlanes with limited wip for each. for example, i might want to have:   standard (limit of 6)  expedite (limit of 1)   fixed delivery date (limit of 2)  leankit kanban has this feature (actually, it is far more advanced than what i am describing).",13,train
JSW-2478,As a user I would like the ability to see a horizontal swimlane on my Rapid Board,"cos:  based on issue priority blocker  only show swimlane when necessary  warning if swimlane exceeds max amount  jql longer term    in order to implement kanban concepts like service class, etc. we need to be able to create horizontal swimlanes with limited wip for each. for example, i might want to have:   standard (limit of 6)  expedite (limit of 1)   fixed delivery date (limit of 2)  leankit kanban has this feature (actually, it is far more advanced than what i am describing).",13,train
JSW-2785,As a GH user I would like to be able to view the cumulative flow diagram using story points,nan,13,train
GHS-2863,"GreenHopper appends Project IDs to URL when adding to list of Enabled Projects, causes HTTP 413 error.","per ticket here: https:/support.atlassian.com/browse/ghs2112  when adding select projects to the ""allowed projects"" listing (under administration > greenhopper > enabled projects,) adding a project to the allowed list creates a request url like this: http:/localhost:8080/secure/secure/setadmissibleprojects.jspa?decorator=none&listvalue=10010%2c10000%2c  where the response is a ""302 temporarily moved,"" a post content size of zero, and a listvalue entry that keeps getting longer.  eventually, the list gets so long that the page will not load due to an ""http 413  request entity too large"" error.  (screenshots + dev console in chrome attached.)",3,train
