issuekey,title,description,storypoint,split_mark
MESOS-313,Report executor terminations to framework schedulers.,"the scheduler interface has a callback for executorlost, but currently it is never called.",2,train
MESOS-336,Mesos slave should cache executors,"the slave should be smarter about how it handles pulling down executors.  in our environment, executors rarely change but the slave will always pull it down from regardless hdfs.  this puts undue stress on our hdfs clusters, and is not resilient to reduced hdfs availability.",5,train
MESOS-343,Expose TASK_FAILED reason to Frameworks.,"we now have a message string inside taskstatus that provides human readable information about taskfailed.    it would be good to add some structure to the failure reasons, for framework schedulers to act on programmatically.    e.g.    enum taskfailure ",8,train
MESOS-487,Balloon framework fails to run due to bad flags,"i suspect this has to do with the latest flags refactor.    [vinod@smfdbkq03sr4 build]$  sudo glogv=1 ./bin/mesostests.sh gtestfilter=""balloon"" verbose  warning: logging before initgooglelogging() is written to stderr  i0529 22:28:13.094351 31506 process.cpp:1426] libprocess is initialized on 10.37.184.103:53425 for 24 cpus  i0529 22:28:13.095010 31506 logging.cpp:91] logging to stderr  source directory: /home/vinod/mesos  build directory: /home/vinod/mesos/build    we cannot run any cgroups tests that require mounting  hierarchies because you have the following hierarchies mounted:  /cgroup  we'll disable the cgroupsnohierarchytest test fixture for now.    note: google test filter = ballooncgroupsnohierarchytest.rootcgroupsnohierarchymountunmounthierarchy:  [==========] running 1 test from 1 test case.  [] global test environment setup.  [] 1 test from cgroupsisolatortest  [ run      ] cgroupsisolatortest.rootcgroupsballoonframework  using temporary directory '/tmp/cgroupsisolatortestrootcgroupsballoonframeworkpwwde1'  launched master at 31574  failed to load unknown flag 'builddir'  usage: ltmesosmaster [...]    supported options:    allocationinterval=value     amount of time to wait between performing                                     (batch) allocations (e.g., 500ms, 1sec, etc) (default: 1secs)    cluster=value                 human readable name for the cluster,                                    displayed in the webui    frameworksorter=value        policy to use for allocating resources                                    between a given user's frameworks. options                                    are the same as for userallocator (default: drf)    [no]help                     prints this help message (default: false)    ip=value                      ip address to listen on    logdir=value                 location to put log files (no default, nothing                                    is written to disk unless specified;                                    does not affect logging to stderr)    logbufsecs=value              how many seconds to buffer log messages for (default: 0)    port=value                    port to listen on (default: 5050)    [no]quiet                    disable logging to stderr (default: false)    [no]rootsubmissions         can root submit frameworks? (default: true)    slaves=value                  initial slaves that should be                                    considered part of this cluster                                    (or if using zookeeper a url) (default: )    usersorter=value             policy to use for allocating resources                                    between users. may be one of:                                      dominantresourcefairness (drf) (default: drf)    webuidir=value               location of the webui files/assets (default: /usr/local/share/mesos/webui)    whitelist=value               path to a file with a list of slaves                                    (one per line) to advertise offers for;                                    should be of the form: file:/path/to/file (default: )    zk=value                      zookeeper url (used for leader election amongst masters)                                    may be one of:                                      zk:/host1:port1,host2:port2,.../path                                      zk:/username:password@host1:port1,host2:port2,.../path                                      file:/path/to/file (where file contains one of the above) (default: )  master crashed; failing test  /home/vinod/mesos/src/tests/balloonframeworktest.sh: line 31: kill: (31574)  no such process  ../../src/tests/script.cpp:76: failure  failed  balloonframeworktest.sh exited with status 2  [  failed  ] cgroupsisolatortest.rootcgroupsballoonframework (2031 ms)  [] 1 test from cgroupsisolatortest (2031 ms total)    [] global test environment tear down  [==========] 1 test from 1 test case ran. (2031 ms total)  [  passed  ] 0 tests.  [  failed  ] 1 test, listed below:  [  failed  ] cgroupsisolatortest.rootcgroups_balloonframework     1 failed test  ",1,train
MESOS-598,Also check 'git diff --shortstat --staged' in post-reviews.py.,we current check if you have any changes before we run post reviews.py but we don't check for staged changes which iiuc could get lost.,1,train
MESOS-708,"Static files missing ""Last-Modified"" HTTP headers","static assets served by the mesos master don't return ""lastmodified"" http headers. that means clients receive a 200 status code and redownload assets on every page request even if the assets haven't changed. because angular js does most of the work, the downloading happens only when you navigate to mesos master in your browser or use the browser's refresh.    example header for ""mesos.css"":        http/1.1 200 ok      date: thu, 26 sep 2013 17:18:52 gmt      contentlength: 1670      contenttype: text/css    clients sometimes use the ""date"" header for the same effect as ""lastmodified"", but the date is always the time of the response from the server, i.e. it changes on every request and makes the assets look new every time.    the ""lastmodified"" header should be added and should be the last modified time of the file. on subsequent requests for the same files, the master should return 304 responses with no content rather than 200 with the full files. it could save clients a lot of download time since mesos assets are rather heavyweight.",2,train
MESOS-723,Expose total number of resources allocated to the slave in its endpoint,this could be useful information if there are bugs in master/slave that causes slaves to overcommit its resources.,2,train
MESOS-752,SlaveRecoveryTest/0.ReconcileTasksMissingFromSlave test is flaky,"[ run      ] slaverecoverytest/0.reconciletasksmissingfromslave  checkpointing executor's forked pid 32281 to '/tmp/slaverecoverytest0reconciletasksmissingfromslavent1btb/meta/slaves/2013101519131677734335153314910/frameworks/2013101519131677734335153314910000/executors/0514b52f3c174ee5ba16635198701ca2/runs/97c9e2ccceea40a8a915aed5fed1dcb3/pids/forked.pid'  fetching resources into '/tmp/slaverecoverytest0reconciletasksmissingfromslavent1btb/slaves/2013101519131677734335153314910/frameworks/2013101519131677734335153314910000/executors/0514b52f3c174ee5ba16635198701ca2/runs/97c9e2ccceea40a8a915aed5fed1dcb3'  registered executor on localhost.localdomain  starting task 0514b52f3c174ee5ba16635198701ca2  forked command at 32317  sh c 'sleep 10'  tests/slaverecoverytests.cpp:1927: failure  mock function called more times than expected  returning directly.      function call: statusupdate(0x7fffae636eb0, @0x7f1590027a00 64byte object /)           expected: to be called once             actual: called twice  over saturated and active  command exited with status 0 (pid: 32317)  ",1,train
MESOS-786,Update semantics of when framework registered()/reregistered() get called,current semantics:    1) framework connects w/ master very first time > registered()  2) framework reconnects w/ same master after a zk blip > reregistered()  3) framework reconnects w/ failed over master > registered()  4) failed over framework connects w/ same master > registered()  5) failed over framework connects w/ failed over master > registered()     updated semantics:    everything same except   3) framework reconnects w/ failed over master > reregistered(),3,train
MESOS-830,ExamplesTest.JavaFramework is flaky,identify the cause of the following test failure:    [ run      ] examplestest.javaframework  using temporary directory '/tmp/examplestestjavaframeworkwsc7u8'  enabling authentication for the framework  i1120 15:13:39.820032 1681264640 master.cpp:285] master started on 172.25.133.171:52576  i1120 15:13:39.820180 1681264640 master.cpp:299] master id: 2013112015132877626796525763234  i1120 15:13:39.820194 1681264640 master.cpp:302] master only allowing authenticated frameworks to register!  i1120 15:13:39.821197 1679654912 slave.cpp:112] slave started on 1)@172.25.133.171:52576  i1120 15:13:39.821795 1679654912 slave.cpp:212] slave resources: cpus():4; mem():7168; disk():481998; ports():[3100032000]  i1120 15:13:39.822855 1682337792 slave.cpp:112] slave started on 2)@172.25.133.171:52576  i1120 15:13:39.823652 1682337792 slave.cpp:212] slave resources: cpus():4; mem():7168; disk():481998; ports():[3100032000]  i1120 15:13:39.825330 1679118336 master.cpp:744] the newly elected leader is master@172.25.133.171:52576  i1120 15:13:39.825445 1679118336 master.cpp:748] elected as the leading master!  i1120 15:13:39.825907 1681264640 state.cpp:33] recovering state from '/tmp/examplestestjavaframeworkwsc7u8/0/meta'  i1120 15:13:39.826127 1681264640 statusupdatemanager.cpp:180] recovering status update manager  i1120 15:13:39.826331 1681801216 processisolator.cpp:317] recovering isolator  i1120 15:13:39.826738 1682874368 slave.cpp:2743] finished recovery  i1120 15:13:39.827747 1682337792 state.cpp:33] recovering state from '/tmp/examplestestjavaframeworkwsc7u8/1/meta'  i1120 15:13:39.827945 1680191488 slave.cpp:112] slave started on 3)@172.25.133.171:52576  i1120 15:13:39.828415 1682337792 statusupdatemanager.cpp:180] recovering status update manager  i1120 15:13:39.828608 1680728064 sched.cpp:260] authenticating with master master@172.25.133.171:52576  i1120 15:13:39.828606 1680191488 slave.cpp:212] slave resources: cpus():4; mem():7168; disk():481998; ports():[3100032000]  i1120 15:13:39.828680 1682874368 slave.cpp:497] new master detected at master@172.25.133.171:52576  i1120 15:13:39.828765 1682337792 processisolator.cpp:317] recovering isolator  i1120 15:13:39.829828 1680728064 sched.cpp:229] detecting new master  i1120 15:13:39.830288 1679654912 authenticatee.hpp:100] initializing client sasl  i1120 15:13:39.831635 1680191488 state.cpp:33] recovering state from '/tmp/examplestestjavaframeworkwsc7u8/2/meta'  i1120 15:13:39.831991 1679118336 statusupdatemanager.cpp:158] new master detected at master@172.25.133.171:52576  i1120 15:13:39.832042 1682874368 slave.cpp:524] detecting new master  i1120 15:13:39.832314 1682337792 slave.cpp:2743] finished recovery  i1120 15:13:39.832309 1681264640 master.cpp:1266] attempting to register slave on vkone.local at slave(1)@172.25.133.171:52576  i1120 15:13:39.832929 1680728064 statusupdatemanager.cpp:180] recovering status update manager  i1120 15:13:39.833371 1681801216 slave.cpp:497] new master detected at master@172.25.133.171:52576  i1120 15:13:39.833273 1681264640 master.cpp:2513] adding slave 20131120151328776267965257632340 at vkone.local with cpus():4; mem():7168; disk():481998; ports():[3100032000]  i1120 15:13:39.833595 1680728064 processisolator.cpp:317] recovering isolator  i1120 15:13:39.833859 1681801216 slave.cpp:524] detecting new master  i1120 15:13:39.833861 1682874368 statusupdatemanager.cpp:158] new master detected at master@172.25.133.171:52576  i1120 15:13:39.834092 1680191488 slave.cpp:542] registered with master master@172.25.133.171:52576; given slave id 20131120151328776267965257632340  i1120 15:13:39.834486 1681264640 master.cpp:1266] attempting to register slave on vkone.local at slave(2)@172.25.133.171:52576  i1120 15:13:39.834549 1681264640 master.cpp:2513] adding slave 20131120151328776267965257632341 at vkone.local with cpus():4; mem():7168; disk():481998; ports():[3100032000]  i1120 15:13:39.834750 1680191488 slave.cpp:555] checkpointing slaveinfo to '/tmp/examplestestjavaframeworkwsc7u8/0/meta/slaves/20131120151328776267965257632340/slave.info'  i1120 15:13:39.834875 1682874368 hierarchicalallocatorprocess.hpp:445] added slave 20131120151328776267965257632340 (vkone.local) with cpus():4; mem():7168; disk():481998; ports():[3100032000] (and cpus():4; mem():7168; disk():481998; ports():[3100032000] available)  i1120 15:13:39.835155 1680728064 slave.cpp:542] registered with master master@172.25.133.171:52576; given slave id 20131120151328776267965257632341  i1120 15:13:39.835458 1679118336 slave.cpp:2743] finished recovery  i1120 15:13:39.835739 1680728064 slave.cpp:555] checkpointing slaveinfo to '/tmp/examplestestjavaframeworkwsc7u8/1/meta/slaves/20131120151328776267965257632341/slave.info'  i1120 15:13:39.835922 1682874368 hierarchicalallocatorprocess.hpp:445] added slave 20131120151328776267965257632341 (vkone.local) with cpus():4; mem():7168; disk():481998; ports():[3100032000] (and cpus():4; mem():7168; disk():481998; ports():[3100032000] available)  i1120 15:13:39.836120 1681264640 slave.cpp:497] new master detected at master@172.25.133.171:52576  i1120 15:13:39.836340 1679118336 statusupdatemanager.cpp:158] new master detected at master@172.25.133.171:52576  i1120 15:13:39.836436 1681264640 slave.cpp:524] detecting new master  i1120 15:13:39.836629 1682874368 master.cpp:1266] attempting to register slave on vkone.local at slave(3)@172.25.133.171:52576  i1120 15:13:39.836653 1682874368 master.cpp:2513] adding slave 20131120151328776267965257632342 at vkone.local with cpus():4; mem():7168; disk():481998; ports():[3100032000]  i1120 15:13:39.836804 1680728064 slave.cpp:542] registered with master master@172.25.133.171:52576; given slave id 20131120151328776267965257632342  i1120 15:13:39.837190 1680728064 slave.cpp:555] checkpointing slaveinfo to '/tmp/examplestestjavaframeworkwsc7u8/2/meta/slaves/20131120151328776267965257632342/slave.info'  i1120 15:13:39.837569 1682874368 hierarchicalallocatorprocess.hpp:445] added slave 20131120151328776267965257632342 (vkone.local) with cpus():4; mem():7168; disk():481998; ports():[3100032000] (and cpus():4; mem():7168; disk():481998; ports():[3100032000] available)  i1120 15:13:39.852011 1679654912 authenticatee.hpp:124] creating new client sasl connection  i1120 15:13:39.852219 1680191488 master.cpp:1734] authenticating framework at scheduler(1)@172.25.133.171:52576  i1120 15:13:39.852577 1682337792 authenticator.hpp:83] initializing server sasl  i1120 15:13:39.856160 1682337792 authenticator.hpp:140] creating new server sasl connection  i1120 15:13:39.856334 1681264640 authenticatee.hpp:212] received sasl authentication mechanisms: crammd5  i1120 15:13:39.856360 1681264640 authenticatee.hpp:238] attempting to authenticate with mechanism 'crammd5'  i1120 15:13:39.856421 1681264640 authenticator.hpp:243] received sasl authentication start  i1120 15:13:39.856487 1681264640 authenticator.hpp:325] authentication requires more steps  i1120 15:13:39.856531 1681264640 authenticatee.hpp:258] received sasl authentication step  i1120 15:13:39.856576 1681264640 authenticator.hpp:271] received sasl authentication step  i1120 15:13:39.856643 1681264640 authenticator.hpp:317] authentication success  i1120 15:13:39.856724 1681264640 authenticatee.hpp:298] authentication success  i1120 15:13:39.856768 1681264640 master.cpp:1774] successfully authenticated framework at scheduler(1)@172.25.133.171:52576  i1120 15:13:39.857028 1681264640 sched.cpp:334] successfully authenticated with master master@172.25.133.171:52576  i1120 15:13:39.857139 1681264640 master.cpp:798] received registration request from scheduler(1)@172.25.133.171:52576  i1120 15:13:39.857306 1681264640 master.cpp:816] registering framework 20131120151328776267965257632340000 at scheduler(1)@172.25.133.171:52576  i1120 15:13:39.862296 1680191488 hierarchicalallocatorprocess.hpp:332] added framework 20131120151328776267965257632340000  i1120 15:13:39.863867 1680191488 master.cpp:1700] sending 3 offers to framework 20131120151328776267965257632340000  registered! id = 20131120151328776267965257632340000  launching task 0  launching task 1  launching task 2  i1120 15:13:39.905390 1680191488 master.cpp:2026] processing reply for offer 20131120151328776267965257632340 on slave 20131120151328776267965257632341 (vkone.local) for framework 20131120151328776267965257632340000  i1120 15:13:39.905825 1680191488 master.hpp:400] adding task 0 with resources cpus():1; mem():128 on slave 20131120151328776267965257632341 (vkone.local)  i1120 15:13:39.905886 1680191488 master.cpp:2150] launching task 0 of framework 20131120151328776267965257632340000 with resources cpus():1; mem():128 on slave 20131120151328776267965257632341 (vkone.local)  i1120 15:13:39.906422 1680191488 master.cpp:2026] processing reply for offer 20131120151328776267965257632341 on slave 20131120151328776267965257632342 (vkone.local) for framework 20131120151328776267965257632340000  i1120 15:13:39.906664 1680191488 master.hpp:400] adding task 1 with resources cpus():1; mem():128 on slave 20131120151328776267965257632342 (vkone.local)  i1120 15:13:39.906721 1680191488 master.cpp:2150] launching task 1 of framework 20131120151328776267965257632340000 with resources cpus():1; mem():128 on slave 20131120151328776267965257632342 (vkone.local)  i1120 15:13:39.907171 1680191488 master.cpp:2026] processing reply for offer 20131120151328776267965257632342 on slave 20131120151328776267965257632340 (vkone.local) for framework 20131120151328776267965257632340000  i1120 15:13:39.907419 1680191488 master.hpp:400] adding task 2 with resources cpus():1; mem():128 on slave 20131120151328776267965257632340 (vkone.local)  i1120 15:13:39.907480 1680191488 master.cpp:2150] launching task 2 of framework 20131120151328776267965257632340000 with resources cpus():1; mem():128 on slave 20131120151328776267965257632340 (vkone.local)  i1120 15:13:39.907938 1680191488 slave.cpp:722] got assigned task 0 for framework 20131120151328776267965257632340000  i1120 15:13:39.908473 1680191488 slave.cpp:833] launching task 0 for framework 20131120151328776267965257632340000  i1120 15:13:39.914427 1682874368 slave.cpp:722] got assigned task 1 for framework 20131120151328776267965257632340000  i1120 15:13:39.914594 1680728064 slave.cpp:722] got assigned task 2 for framework 20131120151328776267965257632340000  i1120 15:13:39.914844 1681801216 hierarchicalallocatorprocess.hpp:590] framework 20131120151328776267965257632340000 filtered slave 20131120151328776267965257632341 for 1secs  i1120 15:13:39.915292 1682874368 slave.cpp:833] launching task 1 for framework 20131120151328776267965257632340000  i1120 15:13:39.915424 1681801216 hierarchicalallocatorprocess.hpp:590] framework 20131120151328776267965257632340000 filtered slave 20131120151328776267965257632342 for 1secs  i1120 15:13:39.915685 1681801216 hierarchicalallocatorprocess.hpp:590] framework 20131120151328776267965257632340000 filtered slave 20131120151328776267965257632340 for 1secs  i1120 15:13:39.915828 1680728064 slave.cpp:833] launching task 2 for framework 20131120151328776267965257632340000  i1120 15:13:39.917840 1680191488 slave.cpp:943] queuing task '0' for executor default of framework '20131120151328776267965257632340000  i1120 15:13:39.917935 1679118336 processisolator.cpp:100] launching default (/users/vinod/workspace/apache/mesos/build/src/examples/java/testexecutor) in /tmp/examplestestjavaframeworkwsc7u8/1/slaves/20131120151328776267965257632341/frameworks/20131120151328776267965257632340000/executors/default/runs/375b31a970934db1964de6b425b1e4b4 with resources ' for framework 20131120151328776267965257632340000  i1120 15:13:39.922019 1679118336 processisolator.cpp:163] forked executor at 3268  i1120 15:13:39.922703 1679118336 slave.cpp:2073] monitoring executor default of framework 20131120151328776267965257632340000 forked at pid 3268  i1120 15:13:39.929134 1682874368 slave.cpp:943] queuing task '1' for executor default of framework '20131120151328776267965257632340000  i1120 15:13:39.929323 1682874368 processisolator.cpp:100] launching default (/users/vinod/workspace/apache/mesos/build/src/examples/java/testexecutor) in /tmp/examplestestjavaframeworkwsc7u8/2/slaves/20131120151328776267965257632342/frameworks/20131120151328776267965257632340000/executors/default/runs/2bd0e75da2b94ae6be089782612309a5 with resources ' for framework 20131120151328776267965257632340000  i1120 15:13:39.931243 1682874368 processisolator.cpp:163] forked executor at 3269  i1120 15:13:39.931612 1681801216 slave.cpp:2073] monitoring executor default of framework 20131120151328776267965257632340000 forked at pid 3269  e1120 15:13:39.931836 1681801216 slave.cpp:2099] failed to watch executor default of framework 20131120151328776267965257632340000: already watched  i1120 15:13:39.936460 1680728064 slave.cpp:943] queuing task '2' for executor default of framework '20131120151328776267965257632340000  i1120 15:13:39.936619 1681801216 processisolator.cpp:100] launching default (/users/vinod/workspace/apache/mesos/build/src/examples/java/testexecutor) in /tmp/examplestestjavaframeworkwsc7u8/0/slaves/20131120151328776267965257632340/frameworks/20131120151328776267965257632340000/executors/default/runs/16d600dada86461491cb58a7b27ab534 with resources ' for framework 20131120151328776267965257632340000  i1120 15:13:39.941299 1681801216 processisolator.cpp:163] forked executor at 3270  i1120 15:13:39.942179 1681801216 slave.cpp:2073] monitoring executor default of framework 20131120151328776267965257632340000 forked at pid 3270  e1120 15:13:39.942395 1681801216 slave.cpp:2099] failed to watch executor default of framework 20131120151328776267965257632340000: already watched  fetching resources into '/tmp/examplestestjavaframeworkwsc7u8/2/slaves/20131120151328776267965257632342/frameworks/20131120151328776267965257632340000/executors/default/runs/2bd0e75da2b94ae6be089782612309a5'  fetching resources into '/tmp/examplestestjavaframeworkwsc7u8/1/slaves/20131120151328776267965257632341/frameworks/20131120151328776267965257632340000/executors/default/runs/375b31a970934db1964de6b425b1e4b4'  fetching resources into '/tmp/examplestestjavaframeworkwsc7u8/0/slaves/20131120151328776267965257632340/frameworks/20131120151328776267965257632340000/executors/default/runs/16d600dada86461491cb58a7b27ab534'  i1120 15:13:40.372573 1681801216 slave.cpp:1406] got registration for executor 'default' of framework 20131120151328776267965257632340000  i1120 15:13:40.373258 1681801216 slave.cpp:1527] flushing queued task 1 for executor 'default' of framework 20131120151328776267965257632340000  i1120 15:13:40.388317 1681801216 slave.cpp:1406] got registration for executor 'default' of framework 20131120151328776267965257632340000  i1120 15:13:40.388983 1681801216 slave.cpp:1527] flushing queued task 0 for executor 'default' of framework 20131120151328776267965257632340000  i1120 15:13:40.398084 1679654912 slave.cpp:1406] got registration for executor 'default' of framework 20131120151328776267965257632340000  i1120 15:13:40.399344 1679654912 slave.cpp:1527] flushing queued task 2 for executor 'default' of framework 20131120151328776267965257632340000  registered executor on vkone.local  i1120 15:13:40.491843 1679654912 slave.cpp:1740] handling status update taskrunning (uuid: f04b18523669444a906f3675f784c14f) for task 1 of framework 20131120151328776267965257632340000 from executor(1)@172.25.133.171:52577  i1120 15:13:40.492202 1679654912 statusupdatemanager.cpp:305] received status update taskrunning (uuid: f04b18523669444a906f3675f784c14f) for task 1 of framework 20131120151328776267965257632340000  i1120 15:13:40.492424 1679654912 statusupdatemanager.cpp:356] forwarding status update taskrunning (uuid: f04b18523669444a906f3675f784c14f) for task 1 of framework 20131120151328776267965257632340000 to master@172.25.133.171:52576  registered executor on vkone.local  i1120 15:13:40.492671 1682337792 master.cpp:1452] status update taskrunning (uuid: f04b18523669444a906f3675f784c14f) for task 1 of framework 20131120151328776267965257632340000 from slave(3)@172.25.133.171:52576  i1120 15:13:40.492735 1682337792 slave.cpp:1865] sending acknowledgement for status update taskrunning (uuid: f04b18523669444a906f3675f784c14f) for task 1 of framework 20131120151328776267965257632340000 to executor(1)@172.25.133.171:52577  status update: task 1 is in state taskrunning  i1120 15:13:40.502235 1679654912 statusupdatemanager.cpp:380] received status update acknowledgement (uuid: f04b18523669444a906f3675f784c14f) for task 1 of framework 20131120151328776267965257632340000  registered executor on vkone.local  i1120 15:13:40.531292 1679654912 slave.cpp:1740] handling status update taskrunning (uuid: c19b6a5a19ce46138a5a08fe807ff27c) for task 2 of framework 20131120151328776267965257632340000 from executor(1)@172.25.133.171:52579  i1120 15:13:40.532091 1680728064 statusupdatemanager.cpp:305] received status update taskrunning (uuid: c19b6a5a19ce46138a5a08fe807ff27c) for task 2 of framework 20131120151328776267965257632340000  i1120 15:13:40.532305 1680728064 statusupdatemanager.cpp:356] forwarding status update taskrunning (uuid: c19b6a5a19ce46138a5a08fe807ff27c) for task 2 of framework 20131120151328776267965257632340000 to master@172.25.133.171:52576  i1120 15:13:40.532776 1682874368 slave.cpp:1865] sending acknowledgement for status update taskrunning (uuid: c19b6a5a19ce46138a5a08fe807ff27c) for task 2 of framework 20131120151328776267965257632340000 to executor(1)@172.25.133.171:52579  i1120 15:13:40.532951 1681801216 master.cpp:1452] status update taskrunning (uuid: c19b6a5a19ce46138a5a08fe807ff27c) for task 2 of framework 20131120151328776267965257632340000 from slave(1)@172.25.133.171:52576  status update: task 2 is in state taskrunning  i1120 15:13:40.538895 1682874368 statusupdatemanager.cpp:380] received status update acknowledgement (uuid: c19b6a5a19ce46138a5a08fe807ff27c) for task 2 of framework 20131120151328776267965257632340000  i1120 15:13:40.541267 1682874368 slave.cpp:1740] handling status update taskrunning (uuid: c218b0c3d77c49018570391c330ba117) for task 0 of framework 20131120151328776267965257632340000 from executor(1)@172.25.133.171:52578  i1120 15:13:40.541555 1682874368 statusupdatemanager.cpp:305] received status update taskrunning (uuid: c218b0c3d77c49018570391c330ba117) for task 0 of framework 20131120151328776267965257632340000  i1120 15:13:40.541725 1682874368 statusupdatemanager.cpp:356] forwarding status update taskrunning (uuid: c218b0c3d77c49018570391c330ba117) for task 0 of framework 20131120151328776267965257632340000 to master@172.25.133.171:52576  i1120 15:13:40.542196 1682874368 master.cpp:1452] status update taskrunning (uuid: c218b0c3d77c49018570391c330ba117) for task 0 of framework 20131120151328776267965257632340000 from slave(2)@172.25.133.171:52576  i1120 15:13:40.542251 1682874368 slave.cpp:1865] sending acknowledgement for status update taskrunning (uuid: c218b0c3d77c49018570391c330ba117) for task 0 of framework 20131120151328776267965257632340000 to executor(1)@172.25.133.171:52578  status update: task 0 is in state taskrunning  i1120 15:13:40.545537 1682874368 statusupdate_manager.cpp:380] received status update acknowledgement (uuid: c218b0c3d77c49018570391c330ba117) for task 0 of...,8,train
