issuekey,title,description,storypoint,split_mark
MDL-1626,Forum: Per-discussion subscription,"i am finding that my inbox is absolutely flooded with unwanted moodle mails off the forum script. this is very annoying and i know it will similarly annoy my users. in fact it will put them off the system.    the problem arises because unlike other discussion boards moodle messages are emailed to me from the entire forum, not just the thread i have started or responded to. the overwhelming of people's inboxes is a serious business: it could be said that moodle is generating spam because the email feature is so unfocused.    is there any chance this is going to be improved please?",100,train
MDL-3714,Forum: Reply by e-mail,how about the ability to post to the forums via email?,100,train
MDL-5583,allow teachers to specify certain fields in database activity as required,"when creating a database, allow the teacher to specify whether a field must be filled in or not.",20,train
MDL-8501,Forum: proceed to next thread link,"please put a link to jump to the next thread in the forum interface... forums are very cool but the evaluation process is time consuming and, for a teacher, time is everything when evaluating 100s of students...  ",20,train
MDL-10115,A use profile's course list is arbitarily limited with no way of seeing complete list,"when viewing a user's profile, if the list of their courses exceeds 21 (i think) an ellipsis is displayed. this seems a bit useless because... a) you can't click on the ellipsis to see the rest of the courses b) the list isn't even in alphabetic order so it becomes even more arbitrary c) the ellipsis is easy to miss, so you may not realise the list is truncated  suggest either making this work properly, i.e., the ellipsis is clickable or if the list is not considered important just put ""too many courses to show"" if it exceeds a certain amount. it would seem sensible to display them in alphabetic order too.  without this it is difficult for an administrator to see all the courses a user is in if (for example) checking role assignments.",13,train
MDL-12403,backup or import of single quiz includes all questions in database,"when making a backup of individual quizzes, no matter how many (or how few) quizzes i back up, the backup includes all questions from the question bank, not only those used in the quiz which i'm backing up. so, in an extreme case, if i back up a single quiz, and then restore it to another course, i unintentionally transfer hundreds of questions along with this quiz.    the same happens when importing a quiz to another course.",100,train
MDL-13114,Include bulk course create and remove with Moodle through the use of CSV files,"we're looking to moodle for a replacement to blackboard enterprise.  in order for moodle to be a viable replacement we need a way to bulk create and delete courses based on csv files.  the bulk create courses is handled by use of a 3rd party module (uploadcourse.php created by rory allford).  however once we import say 700+ courses there's no way to them bulk remove them at the end of a semester (removing 1 by 1 would be too time consuming).  we would really prefer that this functionality be included within moodle, as relying on 3rd party modules (no matter how good they are), inherits a risk if the module stops getting updated.",100,train
MDL-16073,"Add ""test database setup"" to the ""External Database"" enrollment and authentication plugins","it is hard to test whether the administrative panel for external database authentication and for external database enrollment is configured correctly. currently, you have to create fake user accounts or similar, and try to authenticate them or enroll them and see if they receive email, etc. (at least, that's how i tested it! does someone have a better way?)    it woule be nice to have a ""test connection"" button on that page which goes through and makes sure all the db info (username, password, connection, etc.) and data mapping is correct. and prints out all this stuff to the screen in an easytoread report.    thank you!",4,train
MDL-16474,Allow single-item scales,"the single item scale, ""useful"", used on moodle.org is in demand! see http:/moodle.org/mod/forum/discuss.php?d=105515    currently only scales of 2 or more items may be created.",8,train
MDL-16982,Adding data mapping for custom user fields,i'd like having the possibility to add data mapping for custom user fields when i use ldap or db auth modules,40,train
