issuekey,title,description,storypoint,split_mark
MULE-6432,Implement true multicast functionality for <all> processor,"currently / processes messages sequentially. it could be an issue if message processors inside / take long time to respond (e.g. multiple requestresponse endpoints). we discussed it with mikes and agreed that the behavior should be configurable (e.g. /)  if set to true, / will spawn multiple threads inside. if one of the mps inside / throws an exception, it should return muleexceptionmessage which should be included in the response collection, then exception strategy should be invoked.  ",8,train
MULE-5990,Does Mule support XA transaction on XA resources used by a Spring object component ?,"as you should know, a common use case is the bridge pattern :   read a message from an inbound endpoint (from a jms queue or/and a database through jdbc).   writing the message to an outbound endpoint (to a jms queue or/and a database through jdbc).         /       /         /       /       /         /           /           /         /       /     /       what happens then if something goes wrong when writing the result to the outbound endpoint (eg. jdbc endpoint)? if you don't use xa transaction on inbound and outbound endpoints, the message will not be rollbacked to the inbound endpoint in case of an exception. so you will have to solve this issue by configuring / on each endpoint with the appropriate transaction strategy.          /       /         /           /         /       /       /         /           /             /           /           /             /           /         /       /     /       but what happens now if you have a component between inbound and outbound enpoints ?        /      /        /          /        /      /      /        /      /      /        /          /            /          /          /            /          /        /      /    /      in most cases, the spring object component (eg. messsagedao) will execute complicated business operations (from a currently existing business api) and also use a datasource to execute several sql select and update statements before returning a result to the outbound. these jdbc operations will be handled likely by spring jdbctemplate or even hibernatetemplate.    as far as i understand, mule is fully responsible to handle enlistment/delistment and close of xa resources (see org.mule.transaction.xatransaction). so by default, xa resources used by a spring object component will not be handled by mule and will not participate in the xa transaction started from mule.    for completeness... i've also found a unit test for this usecase in mule distribution under mule_home/src/mule3.1.2 src.zip/org/mule/test/integration/transaction/xatransactionswithspringdao.java. when you execute this test, you will have a successful result but the xa resource used by the dao bean is not enlisted nor delisted in/from the transaction started from mule. ",8,train
MULE-6087,Include validation module in Mule core distribution,"emiliano created a validation module, something that's missing inside mule.    validation module support builtin validators. also it supports different types of exceptions for each validation allowing to generate a different response for each kind of exception.    module: http:/mulesoft.github.com/mulemodule validation/    ",8,train
MULE-6118,until-successful should set exception payload with last exception received before sending to DLQ,the title says it all...  see this thread for discussions: http:/forum.mulesoft.org/mulesoft/topics/untilsuccessfulexceptions_handling  deprecate dlq (includes doc changes),5,train
MULE-6145,until-successful should support synchronous use cases,"imagine a simple synchronous http proxy use case, e.g.:    /      /      /  /    if outbound endpoint is wrapped in untilsuccessful, the flow won't work anymore. untilsuccessful must support synchronous scenarios as well.",8,train
MULE-6172,Upgrade apache-commons-pool,"since error handling in current version of apache commons pool is buggy (borrowconnection method throws a nosuchelementexception losing the original cause) we may need to update the library. version 1.6 does not fix the issue. however, current code in trunk tackles the issue (we'll have to wait for a new release).     ",3,train
MULE-6251,Add a default object store for non internal usages,current version provides object stores default (persistent/in memory) to use while processing events internally but there is no object store which could be used by users as default.,3,train
MULE-6355,soapVersion ignored on CXF proxy,invoking this proxy with a soap 1.2 message fails with a warning in the logs and a soap fault for the caller:      /     /        /           /ns1:versionmismatch/           /a soap 1.2 message is not valid when sent to a soap 1.1 only endpoint./        /     /  /      nb. removing the soapversion attribute and invoking the same proxy with a soap 1.1 message works with intense happiness.,8,train
MULE-6367,FTP Inbound endpoint fails when reading empty file,put an empty file into ftp inbound path,5,train
MULE-6386,Outbound endpoint with scheduled dispatch job delivers messages again and again,if you send test messages to vm:/test.in (say every second with a different payload for ex 1 2 3 ...) you'll notice that what's delivered to vm:/accumulatedmessagehandler is:    1 2 3 4 5    then    1 2 3 4 5 6 7 8 9 10    then    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16    (in a random order but the idea is here),5,train
MULE-6441,Inconsistent behaviour of foreach with inside flowvar,"the index of the foreach inside the flow of the flowref is not consistent.  it seems that there is a lack of atomicity with the invocation variables causing as a result jump of indexes of the iteration and overwrite of invocation variables.    in the example below my payload is the result of a sql query so an arraylist/. i save the value of each row in a flow variable to make it always available in next operations (the original project has more flowref).  the problem comes out because in the contained flow accessed by the flowref, the invocation variable carrying the index of the iteration and also the name of the element that i saved is not consistent during each iteration. sometimes some idexes are jumped and also the element of my array tooks more time the same value.",5,train
