issuekey,title,description,storypoint,split_mark
STUDIO-95,Support for request/reply,request/reply  http:/  mockups here: http:/corp.wiki.mulesource.com/display/wp/requestreply#requestreplymockups ,13,train
STUDIO-280,Cannot import a Studio project from Git without errors,"steps to reproduce:    1. create a simple mule studio project (for instance: the echo example)  2. push it into github, pull/clone the repository into your local instance  3. open up a brand new workspace  4. goto import/git/projects from git  5. select the local copy of your github repository  6. select import existing projects  7. select the project created above  8. the import fails due to missing directories (see screenshot)    note that if i do import > mule project it works but then it doesn't recognise that it is a project managed by git so i cannot commit changes.    this is blocking me for the work i am doing with examples.    edit: workaround: perform a clean operation on the project.",3,train
STUDIO-382,Changes to Java code do not get hot deployed,"java source changes don't get picked up right now automatically (see studio 381) however, even if a redeploy is triggered the latest java changes are not deployed",5,train
STUDIO-459,Unable to add a response when creating a second flow in the same mflow,"unable to add a response when creating a second flow.    steps to reproduce:    1) open studio and create a project from an existing template: order discounter.  2) in that same mflow file create another flow. drag and drop http rq rs, echo, flow reference, all router and component, echo and file, then file.  3) try to add a response (echo component) like the one displayed for the template flow.  unable to add a response, instead of that it lets me add the component between http and soap component.    see screen shot.",8,train
STUDIO-618, Namespaces in the XML view are not being removed when you remove all the elements of a kind,"when you add an element and then you remove it, the reference to the schema file is not being removed from the xml namespaces.      steps to reproduce:   1. create a project in studio with a flow in it and go to the global elements tab.   2. add for example a global jetty endpoint with the default values.   3. go to the xml view and check that the xml code for the endpoint is there with reference to the mulejetty.xsd in the namespaces  4. go back to the global elements tab and delete the endpoint.     issue: now if you go back to the xml view, the code for the endpoint is not there as ti should but the reference to the mulejetty.xsd is still there and it shouldn't as there is no jetty element in the flow or in the global elements tab.     be very careful when implementing this as the reference in the namespaces should be remve if there is no other instance of the element kind in a flow or as a global element such as a global endpoint or connector, but if there is no reference to an element kind (ex: some jetty element) there is no reason for the namespace to be there. ",8,train
STUDIO-781,"Would save time to be given the option to create a class in addition to selecting an existing class inside a widget dialog box (e.g., Component)",add a button in the classfieldeditor to create the class inline. ,5,train
STUDIO-782,View the class code just by clicking on the class name displayed in the widget dialog box,"currently, to view the class code (e.g., component) specified in the widget configuration, i have to leave the dialog box to find it. a very desirable feature would be to view the class code (as a separate tab in the editor ) just by clicking on the class name displayed in the widget dialog box.",5,train
STUDIO-837,Reference to the subflow get lost when changing the subflow name (Exception Strategy),"steps to reproduce:   1. create a project in studio with a flow and a subflow  2. go to the flow properties window and set the exception subflow ref combo to the subflow that you have. clic ok.   3. change the name of the subflow.  4.  open the flow properties window, the subflow ref is blank    expected behavior: the reference should be preserved no matters if the user decides to change the subflow name.   ",8,train
STUDIO-853,"Studio can be a lot smarter when handling logic expressions. I'd rather not see AND, OR, NOT filters in the palette","it seems we could have a single filter element in the flow control section that has one dialog that allows people to select an expression (this works for wildcard and regex) and have a section below to allow the user to add new filters with and, or or not.    i think this provides much better usability as there is now only a single filter element not a whole palette.  and it makes working with logic filters more natural for the user. i.e.it feels odd to have to start with an and filter and then configure the expressions",34,train
STUDIO-1212,Response section is not displayed,my config is as follows:  /          /              /              /          /          /          /          /              /                  /      /    but the response is not displayed (see the pic attached),5,train
STUDIO-1311,Able to drag and drop composite source and poll as response elements,i am able to drag and drop composite source and poll as response elements of a flow. this is not correct: we should not let the user be able to drop composite source and poll there.     when dropping them as response elements an empty response box is created and in the xml configuration this is written:  /    i am attaching a screen shot.,3,train
