issuekey,title,description,storypoint,split_mark
XD-1,HDFS ItemWriter,base integration of core hdfs writer functionality with spring batch.,1,train
XD-2,HDFS Core writing helper classes,simple file writer that has existed in the spring hadoop samples.,1,train
XD-6,Channel Registry,nan,3,train
XD-7,Tuple data structure,the tuple data structure should be backward compatible in functionality for use in spring batch.  porting over fieldset tests in spring batch to use the tuple data structure is one way help ensure that compatibility.,1,train
XD-8,Syslog Ingestion,have a syslog.xml config file that can be added to a module and registered with a module registry.,1,train
XD-9,Basic implementation of a reactor based tcp server,nan,13,train
XD-10,Reactor based http ingestion,"when there is support for boostrapping a http server in the reactor project, and inbound si adapter and associated xd source module should be created.",5,train
XD-11,Initial work that uses the module architecture from DIRT ,nan,5,train
XD-12,Jolokia based aggregator for cluster monitoring,nan,8,train
XD-13,Tail file channel adapters,nan,8,train
XD-14,Design for deploying XD on EC2,create enough of a design to develop additional stories.,3,train
XD-18,Websocket based taps,nan,5,train
XD-20,DIRT Runtime that deploys an application context across multiple nodes using redis.,nan,3,train
XD-23,add file source and sink modules,nan,1,train
XD-24,Create pipes and filters DSL for ingestion,"initial simple handcoded implementation for straight through pipe and filter model, e.g. a  c",2,train
XD-26,Basic Performance Test For syslog injestion,nan,20,train
XD-27,Gemfire CQ module for ingestion,nan,1,train
XD-28,Create simple gague service,a gauge just stores a number.  implementations for in memory and redis.,1,train
XD-29,Create rich gauge service,"a rich gauge stores a number and also rmd, min, max. implementations for in memory and redis.",5,train
XD-30,Create a simple counter service,a simple counters can increment/decrement a number.  implementations for in memory and redis.,1,train
XD-31,Create field-value counters,"a fieldvalue counter is useful for bar chart graphs, strings on xaxis and count on yaxis.  maps well to zset in redis. implementations for inmemory and redis.",5,train
XD-35,Create CI process for XD build,bamboo based,1,train
XD-36,SI Outbound HDFS Channel Adapter,nan,3,train
XD-37,Gradle based multi-project build,multi project build.   look to spring framework for source of starting point.,2,train
XD-40,Build script that creates an executable server as an artifact,gradle application plugin is a good starting point.  this should be the main server that would host si based modules to do syslog >file ingestion (as an example),2,train
XD-41,Add JUnit @Rule so Tests Fail Fast with Clear Messaging if Redis Not Available,nan,1,train
XD-43,Metric repositories should support Spring Data CrudRepository interface,this provides common crud behavior and a shared interface that can be useful in testing scenarios.  ,5,train
XD-44,Redis based repositories should use a NamingStrategy class to calculate the name of the key to use for persistence,rediscounterrepository and redisgaugerepository have duplicated code that needs to be factored out into a one place.  one such duplication is the determination of the key name to use for persistence.  this should be abstracted out into a strategy helper class.,1,train
XD-45,Remove the expiry of keys in Redis based repositories,"there is duplicated code in redis based repositories that related to expiry behavior, move into a common shared helper class and/or base class.",1,train
XD-47,HDFS sink module,nan,1,train
XD-48,Parameterizable streams,nan,2,train
XD-49,Move Redis Queue Channel Adapters into spring-integration-redis,"currently these implementations are in the springxddirt module, but they should be moved into springintegrationredis. we are already depending upon spring integration 3.0 snapshots since the channelregistry implementation is not yet at a milestone, so this should be okay for the redis channel adapters also   until spring integration m2 is released.",3,train
XD-50,Add tap support to DIRT,syntax:      tap @ somechannel key=value | somecounter    ,2,train
XD-51,Add xd.stream.name property in StreamPlugin,nan,1,train
XD-52,add twitter search source module,nan,1,train
XD-53,Design and document desired high level DSL for configuring data processing in XD,start to explore how the dsl can cover both advanced (non linear) spring integration flows as well as spring batch jobs.,13,train
XD-54,XD Metrics backed Message Counter,a spring integration based @serviceactivator that counts the number of messages using the spring xd metrics support,1,train
XD-55,SI ServiceActivator for an XD Metrics backed Field Value Counter,"a spring integration based @serviceactivator that counts the occurrence of field names, from either a tuple data structure or a pojo, using the spring xd metrics support.",3,train
