issuekey,title,description,storypoint,split_mark
TDQ-249,SQL Server Single Sign On Support doesn't work in data profiler repository connections,"in the data profiler perspective, you can't use the single sign on libraries to connect to sql server, even if the library is loaded.  we've used the single sign on capabilities in the job designer and haven't had any issues running jobs, using the data viewer, etc; however, when you switch to the data profiler, the connection returns that the library isn't loaded, and to check the java.library.path system property   which has the values appropriate for the library.  everyone has installed the dll from the jtds project in their library paths.",3,train
TDQ-309,Remove two columns in frequency tables,"in the ""b01columnbasic.jrxml"" report, frequency tables must not have the following columns:   ""indicator ok"" and ""indicator perc ok""    see screenshot.     todo: remove these columns in all kind of frequency table.",8,train
TDQ-2018,Connection analysis : information_schema,"when you create an connection analysis on mysql, you can retrieve informations from all databases except information_schema where data are 0 or nan.    but i have tables and data in this schema",5,train
TDQ-2699,"multiple analysis indicators are ""grayed out"" and cannot be used","when attempting to analyze db2 table columns, not all analysis indicators are available",3,train
TDQ-1816,"""View invalid rows"" menu does not display on a table analysis (with DQ Rule)","if the dq rule has a ""join condition"", it is impossible to view the ""invalid rows"" from the analysis results: the option is not displayed.    see the screen captures.",8,train
TDQ-2350,Hide MDM connection in the Data Explorer perspective,"i have a mdm connection in my dq repository and a mysql connection.  when i switch to the data explorer perspective and try to open a ""new sql editor"", i got the exception shown in the screen capture. ""c"" is an mdm connection.      we should hide mdm connection from the data explorer perspective.",3,train
TDQ-2045,Reload database list on MDM connection doesn't work,"""reload database list"" action on mdm connection doesn't work.",20,train
TDQ-616,list of patterns does not display folders,see bug:10936  it is working correctly in 4.0.0m3 but it's not working in 4.0.0.,3,train
TDQ-655,Improve the error message when I declare the Data Profiler reporting DB,if i declare a db into preferences on data profiler reporting i have an error with no message.    (with no grant access on the user).    is it possible to add a better message than this picture ?,5,train
TDQ-1901,Import Oracle synonyms in to Metadata,"hi,  request you to include the feature to import synonyms from oracle database along with tables and views in to the metadata tree under db connections and then be able to create and run analysis on the synonym.  thanks,  chandana busetty",40,train
TDQ-785,"After Time correlation analysis running, my studio got stuck","create a new time correlation analysis, use ""tbi"" database, ""customer"" table, ""birthday"" and ""dateaccntopened"" column(which contains null value), run this analysis   after that, while i want to do any other operation, the studio will be very slowly   i'm not sure the reason, but mzhao told me, perhaps it's about the column which contains null value...",8,train
TDQ-854,"analysis run by right click, the summary section not right","open an analysis, and run it by right click  ""run""  the summary information not right  for eg:  the ""number of execution"" should 1  but it's not, if i run with the toolbar button in the editor area, it will 2    take a look at testlink case ...",3,train
TDQ-855,"after preview some data, will get some errors","right click on a table or a column, select ""preview""  the result was right, and seems nothing serious but at ""error log"" view will get this tack ::      org.eclipse.swt.swtexception: failed to execute runnable (org.eclipse.swt.swtexception: widget is disposed)  at org.eclipse.swt.swt.error(swt.java:3884)  at org.eclipse.swt.swt.error(swt.java:3799)  at org.eclipse.swt.widgets.synchronizer.runasyncmessages(synchronizer.java:137)  at org.eclipse.swt.widgets.display.runasyncmessages(display.java:3468)  at org.eclipse.swt.widgets.display.readanddispatch(display.java:3115)  at org.eclipse.ui.internal.workbench.runeventloop(workbench.java:2405)  at org.eclipse.ui.internal.workbench.runui(workbench.java:2369)  at org.eclipse.ui.internal.workbench.access$4(workbench.java:2221)  at org.eclipse.ui.internal.workbench$5.run(workbench.java:500)  at org.eclipse.core.databinding.observable.realm.runwithdefault(realm.java:332)  at org.eclipse.ui.internal.workbench.createandrunworkbench(workbench.java:493)  at org.eclipse.ui.platformui.createandrunworkbench(platformui.java:149)  at org.talend.datacleansing.core.ui.intro.application.start(unknown source)  at org.eclipse.equinox.internal.app.eclipseapphandle.run(eclipseapphandle.java:194)  at org.eclipse.core.runtime.internal.adaptor.eclipseapplauncher.runapplication(eclipseapplauncher.java:110)  at org.eclipse.core.runtime.internal.adaptor.eclipseapplauncher.start(eclipseapplauncher.java:79)  at org.eclipse.core.runtime.adaptor.eclipsestarter.run(eclipsestarter.java:368)  at org.eclipse.core.runtime.adaptor.eclipsestarter.run(eclipsestarter.java:179)  at sun.reflect.nativemethodaccessorimpl.invoke0(native method)  at sun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:39)  at sun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:25)  at java.lang.reflect.method.invoke(method.java:597)  at org.eclipse.equinox.launcher.main.invokeframework(main.java:559)  at org.eclipse.equinox.launcher.main.basicrun(main.java:514)  at org.eclipse.equinox.launcher.main.run(main.java:1311)  caused by: org.eclipse.swt.swtexception: widget is disposed  at org.eclipse.swt.swt.error(swt.java:3884)  at org.eclipse.swt.swt.error(swt.java:3799)  at org.eclipse.swt.swt.error(swt.java:3770)  at org.eclipse.swt.widgets.widget.error(widget.java:450)  at org.eclipse.swt.widgets.widget.checkwidget(widget.java:388)  at org.eclipse.swt.widgets.tree.getselection(tree.java:1709)  at org.eclipse.jface.viewers.treeviewer.getselection(treeviewer.java:255)  at org.eclipse.jface.viewers.treeviewer.setselection(treeviewer.java:343)  at org.eclipse.jface.viewers.abstracttreeviewer.setselectiontowidget(abstracttreeviewer.java:2477)  at org.eclipse.jface.viewers.abstracttreeviewer.setselectiontowidget(abstracttreeviewer.java:2900)  at org.eclipse.jface.viewers.structuredviewer.preservingselection(structuredviewer.java:1399)  at org.eclipse.jface.viewers.treeviewer.preservingselection(treeviewer.java:402)  at org.eclipse.jface.viewers.structuredviewer.preservingselection(structuredviewer.java:1353)  at org.eclipse.jface.viewers.structuredviewer.refresh(structuredviewer.java:1455)  at org.eclipse.jface.viewers.columnviewer.refresh(columnviewer.java:537)  at org.eclipse.jface.viewers.structuredviewer.refresh(structuredviewer.java:1414)  at net.sourceforge.sqlexplorer.connections.connectionsview$5.run(unknown source)  at org.eclipse.swt.widgets.runnablelock.run(runnablelock.java:35)  at org.eclipse.swt.widgets.synchronizer.runasyncmessages(synchronizer.java:134)  ... 22 more",3,train
