issuekey,title,description,storypoint,split_mark
TESB-1,Investigation: S1 Improved user experience with TOS/TIS/ESB Studio,nan,5,train
TESB-2,Investigate: S2 Business Service Implementation and provider registration in TOS/TIS/Studio,nan,5,train
TESB-3,Investigate: S3 Improved XML Data Handling Components in TOS/TIS/Studio,nan,5,train
TESB-4,Investigate: S7 TIS RTx based on the Service Factory,nan,5,train
TESB-5,Investigate: github migration new opportunities and challenges,nan,5,train
TESB-6,S9 Investigate MDM Call ESB Provider from MDM Trigger,nan,5,train
TESB-33,Common - Setup ESB Runtime Code Repositories (gitHub),code repository: it is expected that we setup a new git (github) code repository for the 'new' talend esb development tasks with the goal that this repository contains all of our artefacts which will be later on part of the new esb 4.0 and higher code base. ,3,train
TESB-34,Initial Build System Setup, concept within our wiki how the internal build system is structures    focus on using maven 3 (+tyco)   we use nexus for the 3rd parties (maven repo) but here we should have potentially 2 repos and we might go away from snapshots to fully versioned artefacts even within the development repo (for 3rd parties)    evaluate the pros / cons to continue with cruise control or if we get some significant featurews with hudson,3,train
TESB-35,Get familar: CXF,for all of the team mebers who not worked with cxf before we asked you to get familar with cxf by using / exporing a bit the documentation and examples on the apache cxf web site but also the documented examples provided with the talend sf release 2.3.1. ,8,train
TESB-36,SL: Service Locator - Install,get familar and install zookeeper (apache hadoop subproject) and get used with the distributed setup and web ui provided by zookeeper,2,train
TESB-37,SL: Service Locator Provider registration,create a cxf interceptor in a way that we could register the current provider via the standard zookeeper client.,3,train
TESB-39,Agreed policy handling with CXF,this item is intended to deliver:   a concept how we deal with agreed policies in general in the cxf environment   define and configure a cxf processing chain based on a agreed policy (for now the current sr agreed polices)   this bi is more like a proofof concept implementation,5,train
TESB-40,SR: Web-UI Mock-UP,create an initial ui specification for the new service registry (runtime registry)  based on the featues and api defined in tesb141 and tesb479.  from a look & feel the sr ui should be aligned to the tis (admindistration center),2,train
TESB-53,proxy settings for Web Service schema: mandatory user/password,in the proxy settings of the web service schema user/password are mandatory.  should be optional fields.,1,train
TESB-54,XML mapping dialog doesn't support namespaces from imported XML Tree,"import importedxmltree.xml as xml tree in ""configure xml tree"" dialog of twritexmlfield     produced output:    /    /    /      /        /http:/services.sopera.org/demo/1.0/        /testservice/      /    /  /      but expected:    /    /    /      /        /http:/services.sopera.org/demo/1.0/        /testservice/      /    /  /       i.e. namespaces are ignored during importing xml tree    and to achive desired output you should manually add namespaces to xml tree in ""configure xml tree"" dialog  ",1,train
TESB-55,XML mapping dialog doesn't support namespaces correctly from imported Xml Schema,"import importedxmlschema.xsd as xml tree in ""configure xml tree"" dialog of twritexmlfield     produced output:    /    /http:/services.sopera.org/demo/1.0/    /testservice/  /      but expected:    /    /http:/services.sopera.org/demo/1.0/    /testservice/  /      i.e. nested elements should be in default (empty) namespace    and to achive desired output you should manually reconfigure namespaces to xml tree in ""configure xml tree"" dialog  ",1,train
TESB-56,XML mapping dialog doesn't allow to choose type of imported Xml Schema,"import multipletypes.xsd as xml tree in ""configure xml tree"" dialog of twritexmlfield     there is no possibility to choose schema type to use in xml mapping    also reproducable via creating ""file xml"" metadata (""output xml"" type) using schema from file  ",1,train
TESB-139,SL: Create Service Locator UI Mock-Up,create a specification for the service locator ui.    remark:   even though the apache zookeeper project provides some ui it is not really very inuitive to visualize the appearance and removal of service providers.    technical remark:   the ui is a web ui and the implementation will be made with gwt.,3,train
TESB-141,SR: Specification of the updated Talend ESB Registry,provide a specification for the new talend esb registry which has a stronger focus on a pure runtime sr.    this part of the specification is expected to describe in detail   the use cases we support with the new registry (and also which once we will no longer support from the asf registry)   the service api   the data model /relationships we can maintain with the sr   the implementation technology for the content repository (final decision for / against using jackrabbit)    as a base for the spec please use:   http:/wiki.servicebackbone.org/wiki/index.php/tesb:serviceregistry,5,train
TESB-144,SR: Define Deployment package structure + examples,"definition of the structure (zip file) which we allow to 'deploy' within the sr (wsdl, policies, etc.)   the structure is intented to be implemented later on by the deploy operation.",2,train
TESB-151,STS:  Provider Implementation (Servlet) (API + dummy issue operation implementation),"implement a new cxf provider based on the wstrust 1.4 (!) api. the primary deployment for this sts provider will be tomcat 6 (war file). the provider is also expectred to run later in a osgi environment (equinox + karaf).  (for the wsdl and spec of wstrust 1.4 sts see http:/docs.oasisopen.org/wssx/wstrust/v1.4/os/wstrust1.4spec os.html)    additionally:  implement the 'issue' operation of the service in a way that for a given usernametoken and/or x.509 token, we return a 'dummy' saml token (spec. 1.1) which is created by using the latest version of opensaml 2.3.1. (so far it is ok to always return the same 'example saml token within the 'issue' operation implementation.     ",3,train
