issuekey,title,description,storypoint,split_mark
TIMOB-8075,"Android: While debugger is running, cannot back out and go back into an app","if you debug an android app, you can't back out of that app and go back into it.  it hangs then at the splash screen, and shows both ""bad socket"" and ""connection refused"" errors in logcat.    logcat:        screencast:      ",2,train
TIMOB-559,Android: Appversion never taken from tiapp.xml,"i found this bug while i created new release for android market.    appversion is never changed from tiapp.xml file (version tag). i send you patch to correct this, to apply on 1.0.0/android/android.py",3,train
TIMOB-684,Android: Border properties are broken for ImageView,"  / in android, the border around the image is not visible  / i tried removing borderradius property, but the issue still remains  / it works on iphone though    var imageview = titanium.ui.createimageview();    titanium.ui.currentwindow.add(imageview);    / workaround  / wrap the image view in another view and set its border properties  / set the width and height to be 2 pixels more than the width and height of the image view    var wrapperview = titanium.ui.createview();    var imageview = titanium.ui.createimageview();    wrapperview.add(imageview);  titanium.ui.currentwindow.add(wrapperview);  ",2,train
TIMOB-1097,Android: Titlebar is displayed when fullscreen splash screen is used.,"/there are a couple of possibly related problems with trying to  run a fullscreen application in android. the first is with the  splash screen. there should be a way to have the splash screen  display on the whole screen, but this is not the case despite the  tiapp.xml configuration in this screenshot which shows both the  emulator and the code:/  /http:/skitch.com/kwhinnery/dgmps/fullscreen/  /also, once the app launches, you should be able to open a window  fullscreen with no title  this would be necessary for an app to go  totally fullscreen:/  /http:/skitch.com/kwhinnery/dgmp7/fullscreen/    test code   in theme.xml  / / / /@drawable/background/ / /      expected behavior  the splash screen should be displayed full screen with no title bar    actual behavior  the title bar, is displayed. during build the theme.xml gets reset, causing the title bar to be displayed.  work around    there is a workaround posted in community q and a.  out one way to resolve this problem. 1) create folders /\platform\android\res\values (see kitchensink folder structure) 2) put in folder ""values"" the file theme.xml modifyed (i.e. )  ",2,train
TIMOB-1242,iOS: Drag and drop map pin annotations,/mkannotationview has support for allowing a map annotation to be  draggable (in ios 4)./  boolean property on annotation object  draggable:true/false/  add associated events  e.g. dragstart &amp; dragend etc./,5,train
TIMOB-1800,iOS: Analytics causes app crash when no network is available - iphone,/a customer reports that if analytics is enabled and no network  (cell or wifi) causes a crash. i cannot reproduce this but at the  request of the customer i am logging this ticket so we can  investigate further./,2,train
TIMOB-1872,Android: Fix AVD naming scheme,"/the current script for naming avds is based on the download order of the emulators. for instance if you download api 4 and api 8 and run the api 8 emulator. then later you download the google api emulator 4. it will launch the api 8 emulator./ /if possible, we should also try and detect that the problem exists in their environment and fix the avds name to the new solution based on the contents of the avd configuration file./",2,train
TIMOB-1902,iOS: Scrollview can scroll to much on ipad when keyboard is up,/this can be recreated in ks controls&gt;text field&gt;border  style./,1,train
TIMOB-2017,Android: WebView No Longer Fires Click Event,/bill triaged the problem./ /in april you added this code to disallow registering for touch on the webview:/ / http:/github.com/appcelerator/titaniummobile/commit/d47e4e06456d0.../ /i'm going to mark this as a regression since i didn't comment on the commit well enough to know if i disabled it on purpose. will need to check interference with clickable items in a webview and scrolling./,1,train
TIMOB-2099,Android: border properties broken for Label,"/adding ""border:1, bordercolor:'black'"" to a label works fine on  1.4.1 under ios, but not on 1.4.2 under android. under android, the  entire label is blacked out, instead of a border being placed  around the label./",1,train
TIMOB-2122,Android: Implement Video Recording,,3,train
TIMOB-2209,Android: Re-enable incremental build,before all of our new changes for stylesheet and ra.java code generation we knew when new java code was generated so we could skip the javac and dex parts of the apk building process. we need to go back through and make sure to only dex/javac when necessary.,3,train
TIMOB-2231,iOS: Add the ability to add Vector Overlay on Maps,"i couldn't find an existing ticket for this, but i remember it being mentioned somewhere before.    would like to be able to draw vector shapes on top of a map with various colours / opacity / textures. bonus points for code that assists with drawing and manipulating the vector with touch events, placing markers on the corners for resizing etc. otherwise, at the very least some event triggering for clicking + interacting with the vector shape.    this adds a whole other dimension to mapping applications for plotting areas and recording information against these areas.",34,train
TIMOB-2363,Android: Strip debugging symbols from JARs when building for production,it might be a good space saving measure to strip debugging symbols from our jars when building apps for production mode. the biggest implication this has is not having line numbers in stack traces from production apps.,3,train
TIMOB-2484,iOS: Httpclient ssl problem without different port,/if i put a port 443 or a different one the connection does not  work/,1,train
