issuekey,title,description,storypoint,split_mark
USERGRID-16,Asset data does not correctly obey contextual ownership like the entity,"""the asset data endpoint     /assets/uuid/data does not correctly obey contextual ownership.     for instance, if the default role permission are set to this after removing all existing.     get,put,post,delete:/users/me/     a user should only be able to perform the operations on their entity /users/me, and all sub collections. for instance the following scenario should work as described.     # app default role permissions are edited to match the path above   # user """"bob"""" registers for app   # user """"bob"""" creates the following asset and uploads data. /users/me/assets/myasset and /users/me/assets/myasset/data     # user """"fred"""" registers for app   # user """"fred"""" should get a 404 on both /users/bob/assets/myasset, and /users/bob/assets/myasset/data     # anonymous user should get a 404 on both /users/bob/assets/myasset, and /users/bob/assets/myasset/data     see org.usergrid.rest.applications.users.ownershipresourceit for some examples.   """,3,train
USERGRID-17,Expose refresh token at the REST tier,"need to add refresh token capability to the rest tier.      may be able to update our oauth impl.  also, refresh tokens were in the core but were removed some time ago.  might be able to go back to commits prior to it being removed to see it.    ",3,train
USERGRID-19,Bad geo query returns entire collection,"""when a badly formed geo query is sent with a get, the api returns the entire collection, when it should return nothing, or return some sort of query parse error.     for example, this is missing the 'location' param of the query statement:     within 16000 of 37.774989, 122.419413     and returns the first 10 entities in the collection even though the query can't be parsed.   """,3,train
USERGRID-21,Empty string doesn't remove an entity property (null doesn't work either),"""users should be able to remove entity properties using either empty string or null     1. test to see if either works   2. if empty string does not work, then setting empty string should keep the property but set it to an empty string   3. null should always remove the key       curl x post i h """"authorization: bearer ywmt4i6fzejreeoh0fgowhrloaaaauizm9d9wtwqtdewhc1i1kg8d8yymovvqv0"""" """"htts:/api.usergrid.com/1hotrod/fdfdsafd/books/8dd42b7a432511e3a8a92be66bc83082?ql="""" d ''     or     curl x post i h """"authorization: bearer ywmt4i6fzejreeoh0fgowhrloaaaauizm9d9wtwqtdewhc1i1kg8d8yymovvqv0"""" """"htts:/api.usergrid.com/1hotrod/fdfdsafd/books/8dd42b7a432511e3a8a92be66bc83082?ql="""" d ''""",3,train
USERGRID-23,Fresh Admin user token won't work on /management/users/me,"""after logging on:    curl x post """"https:/api.usergrid.com/management/token"""" d ''       the user is not able to log in with the token:    curl x get i h """"authorization: bearer ywmt997xkhayeeo7oblzqpxkkaaaaudriyfhe8gizlo8ihjztox2jq7kxpbfthc"""" """"https:/api.usergrid.com/management/usersfdsafdsa""""      but the token works with other endpoints.    update: looks like the problem is that the /management/users/ endpoint is not caseinsensitive on the username or email address. we need to update that api call so that it is case insensitive.          """,3,train
USERGRID-24,Collection counters on App endpoint are completely off,"""the counts of items in each collection returned in a call to /org/app are completely off (usually by a factor of 10). this is possibly related to usergrid 17. can we do something to fix this?    possible solution in two parts:  1. investigate all code paths to ensure that counters are being invoked when needed    2. create a job that can be invoked automatically or manually that will recount all entities in a collection  """,3,train
USERGRID-26,Offer an option to delete all inbound and/or outbound connections on entity delete,"""per ed, all inbound connections should be cleaned up when an entity is deleted:     for example, if you have entity rock and entity paper who both like entity scissors, both likes connections to scissors should be deleted if scissors is deleted.       it would be great if there was an option to delete all inbound connections when an entity is deleted (the same flag should also be possible on deletes by queries).""",3,train
USERGRID-27,Limit on connection query not working,"also ""limit"" doesn't seems to be working for connections for e.g. https:/api.usergrid.com/fdsafdsa/test/users/me/connecting/shares?limit=2&accesstoken=ywmtsq92bbcseeoyaq1trlcnaaaaudupjgtlh06penbkfrmoxta8jg1xwruwvs. returns all in our case is 3",3,train
USERGRID-29,We don't seem to be parsing '++' correctly,"""i have made a simple app to test usergrid's capabilities and i'm having trouble with updating entities that contain html entities.   i.e. i add c as an entity in a collection called language and i also have c in the collection too. whenever i try to update c, which i grab via a collection query   """"select  where owned='testuser' and lang='c'""""   i get back the c entity.   i have tried encoding the strings , but c%2b%2b  gets double encoded to c%252b%252b   this a typical call it makes without me trying to encode anything:   https:/api.usergrid.com/clydebyrdiii...   although it seems to encode correctly it returns the entity with lang='c' and not  lang='c';    and confirmed by scott:   nope. if i create an entity with an attribute = 'c', i can find it by querying for: 'c' but not for 'c' or 'c+'.   """,3,train
USERGRID-30,"/collection/id/connected/* paths should either return an entity, an empty set or a 404","""not clear what that path is supposed to do but itõs accepted, and always returns an empty set of results or an error     examples:     curl http:/api.usergrid.com/fdsafdsa/sandbox/users/tim/connected/followers   => returns empty set despite follower relationships existing   curl http:/api.usergrid.com/fdsafdsa/sandbox/users/tim/connected/users   => returns empty set despite users being connected   curl http:/api.usergrid.com/fdsafdsa/sandbox/users/tim/connected/d2740256e31211e1ad1712313d2b9232   => returns an error despite an entity with that uuid being connected     1. either we should accept a name or uuid at the end, and return that entity if it exists in the òconnectedó entities, or a 404 if it does not exist in the list of connected entities   2. or we should accept a relationship identifier there and return all connected entities through that identifier, or an empty set if there are none   3. or we should accept a collection name / type there and return all connected entities of that type, or an empty set if there are none   4. or you should tell me what is supposed to be provided there so we can put that in our docs and sdks :p""",3,train
USERGRID-35,Cannot delete an entity that has a connection to it,"""to repro, attempt to delete an entity that has a connection to it such as: curl  x delete """"https:/api.com/fdsafdsa/testapp/dog/dachsund""""     notice that you get error message:        it is expected that the entity is deleted and the connection is deleted as well.""",3,train
USERGRID-40,ActivityStreams should be indexed,"""toplevel properties like category, content, title should be indexed by default, so you can do     /activities?ql=category = 'report'       objects such as actor, object, provider, generator & target should be deepindexed so you can do queries like:     /activities?ql=object.uuid = 'ca16c9a1ab5b11e18b991231381c404f'     /activities?ql=author.name = 'tim'     etc.""",3,train
USERGRID-51,the result from the Setup call (to setup DB) should not say OK when it failed to create KS (or other critical failure),"need to verify that this is still an issue    ""when the /setup call is run and create ug keyspaces, they could fail (for various reason).     however, it seems in the result from the call, the status always says ok:        [root@rut000ea lib]# curl u superuser:supervisor 0:8080/system/database/setup   \        here is 1 way to reproduce this problem: in the usergrid properties, define to use networktopologystrategy and replicationfactor:        cassandra.keyspace.strategy.options.replicationfactor=3   cassandra.keyspace.strategy.options.useast=3   cassandra.keyspace.strategy=org.apache.cassandra.locator.networktopologystrategy        in c  1.2, it becomes stricter on the options used (previously a warning). the above combination of the strategy options is invalid for networktopologystrategy, and will result in failure of creating the keyspace.     hence the status result from the setup call should reflect it.""",3,train
USERGRID-56,Error and possible race condition in the assets/uuid/data endpoints. ,"it looks like we might have a race condition in the assets/uuid/data endpoints. perhaps the assets in general. i noticed my calls were successful about 5% of the time. i put in a 1s wait, and now it's over 95%. when it fails, i get this error:    ",3,train
USERGRID-58,Application end-point returns incorrect counts,"here's an example of the obviously bad counts:            ""dogs"" : ,          ""medications"" : ,          ""somethings"" : ,    i suspect ",3,train
USERGRID-59,Mismatch application metadata ( APPLICATIONS_CF and Management Apps ),"sometimes, there's mismatch application metadata ( applications_cf and management apps )  so, we need to repair the datas.",3,train
USERGRID-82,Cannot change custom entity name,"if you have a custom entity and attempt to update the entity's name (via put), the system will accept the request and return success (200), but the name will remain unchanged.    eg. using ugc:  ugc create foo ""name: 'bar'""  ugc update foo/bar ""name: 'baz'""    (note: referencing the entity in the put via uuid has the same effect.)",3,train
USERGRID-98,POST to /events returns entity that does not exist,"when i create a new event entity, the api returns an entity with uuid, but when i do a get on the entity, the api returns a service resource not found error. get on the /events endpoint also shows that the entity was not saved.    so this post:    curl x post ""https:/api.usergrid.com/fdsafdsa/test/events"" d ''      returns this response:    ,    ""path"" : ""/events"",    ""uri"" : ""http:/api.usergrid.com/fdsafdsa/test/events"",    ""entities"" : [     } ],      but a get on /events/c8a283c6e79b103887351d2142858146 returns this error:      ",3,train
USERGRID-103,Upgrade to latest Jersey 2.x release,"jax rs 2.0 brings lots of new features, much better extensible and async support are ones i think most useful ",5,train
